"Country","OblName","PostCodeList","City","lang_code"
"RU","KDA","353995","Абрау-Дюрсо","ru"
"RU","CRI","297342","Абрикосовка","ru"
"RU","CRI","296316","Абрикосово","ru"
"BY","MI","","Абрицкая Слобода","ru"
"RU","PSK","","Абросово","ru"
"RU","MUR","","Абрым-мыс","ru"
"RU","TA","423957","Абсалямово","ru"
"RU","KGN","","Абултаево","ru"
"RU","CU","429210","Абызово","ru"
"RU","KHA","682946","Аван","ru"
"RU","PRI","690025","Авангард","ru"
"RU","SAM","446643","Авангард","ru"
"RU","TUL","301349","Авангард","ru"
"RU","TVE","170533","Аввакумово","ru"
"RU","SAM","446281","Августовка","ru"
"RU","KRS","307211","Авдеева","ru"
"RU","BEL","","Авдеевка","ru"
"RU","MOS","140630","Авдеево","ru"
"RU","BA","450580","Авдон","ru"
"RU","RYA","391525","Авдотьинка","ru"
"RU","KOS","","Авдотьино","ru"
"RU","MOS","142002,142032","Авдотьино","ru"
"RU","LIP","399837","Авдулово","ru"
"RU","MOS","","Авдулово-1","ru"
"RU","MOS","","Авдулово-2","ru"
"RU","SVE","624015","Аверино","ru"
"RU","DA","368832,368833","Аверьяновка","ru"
"RU","MOS","","Авиагородок","ru"
"RU","ORE","","Авиагородок","ru"
"RU","ALT","","Авиатор","ru"
"RU","ROS","346960","Авило-Успенка","ru"
"RU","VGG","403091","Авилов","ru"
"RU","BEL","","Авиловка","ru"
"RU","ARK","165511","Авнюгский","ru"
"RU","LEN","187432","Аврово","ru"
"RU","MOS","142645","Авсюнино","ru"
"RU","MOS","","Автополигон","ru"
"RU","CE","366306","Автуры","ru"
"RU","KLU","249812","Авчурино","ru"
"RU","OMS","646544","Авяк","ru"
"KZ","KAR","","Агадырь","ru"
"RU","LEN","","Агалатово","ru"
"RU","KHM","628637","Аган","ru"
"RU","KOS","","Аганино","ru"
"RU","CHE","457400,457401","Агаповка","ru"
"RU","MOS","","Агарино","ru"
"RU","MOS","143088","Агафоново","ru"
"RU","DA","368900","Агвали","ru"
"RU","SA","678271","Агдары","ru"
"RU","TUL","301401","Агеево","ru"
"RU","SMO","215671","Агибалово","ru"
"RU","BA","452920,452925","Агидель","ru"
"RU","KYA","663580","Агинское","ru"
"RU","ZAB","674485,687000,687599","Агинское","ru"
"RU","KHM","628245","Агириш","ru"
"RU","CE","366336","Агишты","ru"
"RU","KDA","352830","Агой","ru"
"RU","BEL","309952","Агошевка","ru"
"RU","CRI","","Аграрное","ru"
"RU","ROS","","Аграфеновка","ru"
"RU","RYA","390522","Агро-Пустынь","ru"
"RU","MOS","143511","Агрогородок","ru"
"BY","VI","","Агрогородок Буда","ru"
"BY","MI","","агрогородок Снов","ru"
"RU","KDA","353207","Агроном","ru"
"RU","TA","422230,422231,422233,422239","Агрыз","ru"
"RU","KDA","","Агуй-Шапсуг","ru"
"KZ","SEV","","Агынтай Батыра","ru"
"RU","TA","422404","Адав-Тулумбаево","ru"
"RU","KDA","353351","Адагум","ru"
"RU","AD","385336","Адамий","ru"
"RU","ORE","462830,462831,462849","Адамовка","ru"
"BY","HO","","Адамовка","ru"
"BY","BR","225842","Адамово","ru"
"BY","HO","","Адаси","ru"
"BY","BR","225378","Адаховщина","ru"
"RU","RYA","391541","Аделино","ru"
"RU","KDA","","Адербиевка","ru"
"RU","KO","168041","Аджером","ru"
"RU","KC","369358","Адиль-Халк","ru"
"RU","DA","","Адиль-Янгиюрт","ru"
"RU","DA","368038","Адильотар","ru"
"RU","KDA","","Адлер","ru"
"RU","KLU","249960","Адуево","ru"
"RU","KC","369330","Адыге Хабль","ru"
"RU","AD","385200,385202,385271","Адыгейск","ru"
"RU","KIR","612077","Адышево","ru"
"RU","OMS","646395","Аев","ru"
"RU","CE","366907","Азамат-Юрт","ru"
"RU","SVE","","Азанка","ru"
"RU","ME","425225","Азаново","ru"
"RU","TUL","301007","Азаровка","ru"
"BY","HO","","Азделино","ru"
"RU","SVE","624310","Азиатская","ru"
"RU","SVE","","Азигулово","ru"
"RU","CU","429214","Азим-Сирма","ru"
"RU","UD","427025","Азино","ru"
"RU","TA","423330,423331,423332,423349","Азнакаево","ru"
"RU","CRI","","Азов","ru"
"RU","ROS","346780,346781,346782,346783,346787,346789,346799","Азов","ru"
"RU","BA","453030,453039","Азово","ru"
"RU","KIR","","Азово","ru"
"RU","OMS","646880,646881","Азово","ru"
"RU","PER","","Азово","ru"
"RU","PSK","181423","Азово","ru"
"RU","KDA","353245","Азовская","ru"
"RU","AST","416335","Азовский","ru"
"RU","CRI","296178","Азовское","ru"
"RU","KGD","238323","Азовское","ru"
"RU","YAN","629651","Азовы","ru"
"RU","ME","425151","Азъял","ru"
"RU","BA","452968","Азяково","ru"
"RU","KDA","354342","Аибга","ru"
"RU","BA","452057","Аитово","ru"
"RU","BA","452823","Айбуляк","ru"
"RU","CRI","","Айвазовское","ru"
"RU","CRI","","Айвовое","ru"
"RU","STA","356715","Айгурский","ru"
"KZ","AKM","","Айдабол","ru"
"RU","BEL","309761","Айдар","ru"
"RU","TA","422534","Айдарово","ru"
"RU","VOR","396002","Айдарово","ru"
"RU","CRI","","Айкаван","ru"
"RU","KO","169040,169069","Айкино","ru"
"RU","CHE","456926","Айлино","ru"
"RU","DA","368519","Аймаумахи","ru"
"KZ","ALM","","Аймен","ru"
"KZ","KZY","","Айтеке-Би","ru"
"RU","ORE","462216","Айтуар","ru"
"RU","SA","678190,678191","Айхал","ru"
"RU","TA","422522","Айша","ru"
"KZ","ZHA","","Айша-Биби","ru"
"KZ","SEV","","Айыртау","ru"
"KZ","SEV","","Айыртауское","ru"
"RU","TY","668045,668050,668051","Ак-Довурак","ru"
"RU","TOM","","Академгородок","ru"
"RU","TVE","171105","Академический","ru"
"RU","MOS","142800,142806,142811,142812,142813,142814,142815,142816,142817,142820,142821,142822,142825,142830,142832,142833,142840,142841,142842,142845,142846,142850,142851,142852,142853,142854,142855,142856,142857,142860,142861,142862","Акатово","ru"
"RU","SMO","215002","Акатово","ru"
"RU","MOS","140478","Акатьево","ru"
"RU","KEM","652035","Акация","ru"
"RU","TA","423225","Акбаш","ru"
"KZ","AKM","","Акбеит","ru"
"RU","BA","452414","Акбердино","ru"
"RU","ORE","461550,461551","Акбулак","ru"
"KZ","SEV","","Акбулак","ru"
"KZ","VOS","","Акжал","ru"
"KZ","KAR","101713","Акжал","ru"
"KZ","SEV","","Акжан","ru"
"KZ","ALM","","Акжар","ru"
"RU","ORE","462771","Акжарское","ru"
"RU","AL","658342","Акимовка","ru"
"RU","CRI","","Акимовка","ru"
"RU","MOW","","Акиньшино","ru"
"RU","ORE","462371","Аккермановка","ru"
"RU","KDA","353342","Аккерменка","ru"
"KZ","ATY","","Аккистау","ru"
"KZ","AKM","","Акколь","ru"
"KZ","PAV","","Акку","ru"
"KZ","SEV","151201","Аккудук","ru"
"KZ","VOS","","Аккульск","ru"
"KZ","KZY","","Аккум","ru"
"KZ","AKM","","Акмолинск","ru"
"RU","BA","453676","Акмурун","ru"
"RU","DA","368110","Акнада","ru"
"RU","CU","429532","Акрамово","ru"
"BY","HO","","Акрионы","ru"
"RU","CRI","","Акрополис","ru"
"RU","BA","452832","Аксаитово","ru"
"RU","DA","368031","Аксай","ru"
"RU","ROS","346720,346721,346723,346724,346739","Аксай","ru"
"RU","VGG","404311","Аксай","ru"
"KZ","ZAP","","Аксай","ru"
"RU","BA","","Аксаково","ru"
"RU","MOS","","Аксаково","ru"
"RU","ORE","461605","Аксаково","ru"
"RU","BA","452020","Аксаково село","ru"
"RU","AST","416154","Аксарайский","ru"
"RU","CU","429567","Аксарино","ru"
"RU","ME","425212","Аксарка","ru"
"RU","YAN","629620","Аксарка","ru"
"KZ","SEV","","Аксары","ru"
"RU","MOS","144030","Аксено-Бутырское","ru"
"RU","MO","431041","Аксеновка","ru"
"KZ","SEV","","Аксеновка","ru"
"RU","BA","452130","Аксеново","ru"
"RU","MOS","140163","Аксеново","ru"
"RU","OMS","","Аксеново","ru"
"RU","PSK","182853","Аксеново","ru"
"RU","TOM","","Аксеново","ru"
"RU","VLA","601571","Аксеново","ru"
"RU","MO","431514","Аксеново","ru"
"RU","ZAB","673497","Аксеново-Зиловское","ru"
"RU","MOS","143031","Аксиньино","ru"
"RU","MOS","","Аксинькино","ru"
"RU","TA","422415","Аксу","ru"
"KZ","AKM","140100,140101,140102,140103,140104","Аксу","ru"
"KZ","PAV","","Аксу","ru"
"KZ","PAV","140102","Аксу-2","ru"
"KZ","VOS","71500","Аксуат","ru"
"KZ","SEV","","Аксуат","ru"
"RU","TA","423060,423089","Аксубаево","ru"
"KZ","YUZ","","Аксукент","ru"
"RU","KGN","641682","Актабан","ru"
"RU","TA","423740,423769","Актаныш","ru"
"KZ","KAR","","Актас","ru"
"RU","BA","453676","Актау","ru"
"KZ","KAR","101408","Актау","ru"
"KZ","MAN","","Актау","ru"
"RU","AL","649743","Акташ","ru"
"KZ","AKT","100425,120505,160702","Актобе","ru"
"KZ","ALM","70205","Актогай","ru"
"KZ","KAR","","Актогай","ru"
"KZ","SEV","","Актуесай","ru"
"RU","KIR","613564","Актыгашево","ru"
"RU","TA","423304","Актюбинский","ru"
"BY","HO","","Акулинка","ru"
"RU","BEL","309355","Акулиновка","ru"
"RU","KLU","249213,249216","Акулово","ru"
"RU","KOS","","Акулово","ru"
"RU","MOS","141612","Акулово","ru"
"RU","MOW","108833","Акулово","ru"
"RU","TVE","","Акулово","ru"
"RU","MOS","","Акулово д","ru"
"RU","ALT","659564","Акутиха","ru"
"RU","DA","368280","Акуша","ru"
"RU","MO","431374","Акчеево","ru"
"RU","CU","429049","Акчикасы","ru"
"RU","ZAB","674230","Акша","ru"
"KZ","MAN","","Акшакур","ru"
"KZ","AKT","","Акшам","ru"
"KZ","VOS","","Акший","ru"
"RU","CU","429560","Акшики","ru"
"BY","HO","","Акшинка","ru"
"RU","ULY","433741","Акшуат","ru"
"RU","BA","453800","Акъяр","ru"
"RU","MOS","","Алабино","ru"
"RU","OMS","646788","Алабота","ru"
"RU","CHE","456686","Алабуга","ru"
"RU","TA","","Алабуга","ru"
"RU","MOS","","Алабушево","ru"
"RU","SE","363240,363241,363242,363243,363245,363246","Алагир","ru"
"RU","MOS","","Аладино","ru"
"RU","MOS","","Аладьино","ru"
"RU","DA","368974","Алак","ru"
"RU","SAM","446404","Алакаевка","ru"
"RU","MUR","184060","Алакуртти","ru"
"RU","ALT","659155","Аламбай","ru"
"RU","TA","422085","Алан","ru"
"RU","SVE","624600,624601,624602,624603,624604,624605,624606,624607,624612,624615,624619","Алапаевск","ru"
"RU","IRK","669472","Аларь","ru"
"RU","KR","186806","Алатту","ru"
"RU","CU","429820,429822,429824,429826,429827,429828,429859","Алатырь","ru"
"RU","AMU","676065","Албазино","ru"
"KZ","AKT","","Алга","ru"
"KZ","ALM","","Алгабас","ru"
"RU","AST","","Алгаза","ru"
"RU","TAM","393940","Алгасово","ru"
"RU","IRK","665229","Алгатуй","ru"
"RU","ROS","","Алдабульский","ru"
"RU","SA","678900,678901,678902,678906,678909","Алдан","ru"
"RU","CU","429293","Алдиарово","ru"
"RU","BA","452558","Алегазово","ru"
"RU","MOS","","Алеево","ru"
"RU","RYA","391412","Алеево","ru"
"RU","MOS","","Алеево-2","ru"
"RU","BEL","309812","Алейниково","ru"
"RU","ALT","658130,658131,658133,658135,658136,658137,658138,658149","Алейск","ru"
"RU","RYA","","Алеканово","ru"
"RU","KLU","249111","Алекино","ru"
"RU","KGD","","Александра Космодемьянского пос.","ru"
"RU","STA","356411","Александрия","ru"
"RU","NVS","632700","Александро-Невский","ru"
"RU","RYA","391240","Александро-Невский","ru"
"RU","ROS","347233","Александров","ru"
"RU","VLA","601650,601651,601652,601653,601654,601655,601657,601659,601670","Александров","ru"
"RU","SAR","413370,413371,413372","Александров-Гай","ru"
"RU","AMU","676201","Александровка","ru"
"RU","BEL","309668","Александровка","ru"
"RU","CHE","456571","Александровка","ru"
"RU","CRI","297007","Александровка","ru"
"RU","CU","429152","Александровка","ru"
"RU","KYA","353677,663834","Александровка","ru"
"RU","KLU","","Александровка","ru"
"RU","MO","431518","Александровка","ru"
"RU","MOS","","Александровка","ru"
"RU","OMS","646891","Александровка","ru"
"RU","ORE","461830","Александровка","ru"
"RU","PNZ","","Александровка","ru"
"RU","ROS","346765","Александровка","ru"
"RU","SAM","446194","Александровка","ru"
"RU","SAR","410519","Александровка","ru"
"RU","SMO","214501","Александровка","ru"
"RU","TA","423926","Александровка","ru"
"RU","TUL","301383","Александровка","ru"
"RU","TYU","627511","Александровка","ru"
"RU","ULY","433547","Александровка","ru"
"RU","VGG","403075","Александровка","ru"
"RU","VLA","602220","Александровка","ru"
"RU","VOR","397467","Александровка","ru"
"KZ","SEV","","Александровка","ru"
"BY","HO","247375,247384","Александровка","ru"
"KZ","SEV","","Александровка (Александровский р-н)","ru"
"KZ","SEV","","Александровка (Марксовский р-н)","ru"
"KZ","SEV","","Александровка (Саратовский р-н)","ru"
"KZ","SEV","","Александровка (Читинский р-н)","ru"
"RU","SAR","412464","Александровка 3-я","ru"
"RU","LEN","","Александровка д.","ru"
"RU","ROS","346712","Александровка Хутор","ru"
"RU","VOR","","Александровка-Донская","ru"
"RU","MOS","143251","Александрово","ru"
"RU","PNZ","143251","Александрово","ru"
"RU","RYA","390512","Александрово","ru"
"RU","UD","427562","Александрово","ru"
"RU","PER","618320,618323,618335,618345,618346","Александровск","ru"
"RU","SAK","694420,694424","Александровск-Сахалинский","ru"
"RU","KB","361104","Александровская","ru"
"RU","SPE","196631","Александровская","ru"
"RU","KDA","352316","Александровский","ru"
"RU","ZAB","674640","Александровский Завод","ru"
"RU","OMS","","Александровское","ru"
"RU","STA","356300,356302,356303,356304","Александровское","ru"
"RU","SVE","623316","Александровское","ru"
"RU","TOM","636760,636761","Александровское","ru"
"RU","IRK","","Александровское","ru"
"BY","BR","225834","Алексеевичи","ru"
"RU","AL","658653","Алексеевка","ru"
"RU","ALT","659666","Алексеевка","ru"
"RU","AMU","676712","Алексеевка","ru"
"RU","BA","450531,452057","Алексеевка","ru"
"RU","BEL","309850,309853,309857","Алексеевка","ru"
"RU","CHE","457217","Алексеевка","ru"
"RU","CRI","296330","Алексеевка","ru"
"RU","LEN","188457","Алексеевка","ru"
"RU","MO","431709","Алексеевка","ru"
"RU","MOS","143523","Алексеевка","ru"
"RU","OMS","646150","Алексеевка","ru"
"RU","ORE","461178","Алексеевка","ru"
"RU","ROS","346475","Алексеевка","ru"
"RU","SAR","412606","Алексеевка","ru"
"RU","TA","423938","Алексеевка","ru"
"RU","TAM","393685","Алексеевка","ru"
"KZ","AKM","","Алексеевка","ru"
"KZ","VOS","70415","Алексеевка","ru"
"BY","HO","247641","Алексеевка","ru"
"RU","SAM","446401","Алексеевка пос.","ru"
"RU","SAM","446640","Алексеевка с.","ru"
"RU","ROS","346010","Алексеево-Лозовское","ru"
"RU","ROS","346596","Алексеево-Тузловка","ru"
"RU","IRK","666712","Алексеевск","ru"
"RU","KDA","352105","Алексеевская","ru"
"RU","VGG","403241","Алексеевская","ru"
"RU","OMS","","Алексеевский","ru"
"RU","ROS","347153","Алексеевский","ru"
"RU","STA","356414","Алексеевское","ru"
"RU","TA","422900,422901,422939","Алексеевское","ru"
"RU","TVE","171945","Алексеевское","ru"
"RU","BEL","309811","Алексеенково","ru"
"BY","BR","225253","Алексейки","ru"
"RU","VGG","403915","Алексиковский","ru"
"RU","TUL","301352,301360,301361,301362,301363,301364,301365,301367,301368,301369,301370,301371,301379","Алексин","ru"
"RU","MOS","","Алексино","ru"
"RU","SMO","215741","Алексино","ru"
"BY","HO","","Алексичи","ru"
"BY","HO","","Алес","ru"
"RU","MOS","","Алесейково","ru"
"RU","ZAB","673482","Алеур","ru"
"RU","IRK","665430","Алехино","ru"
"RU","MOS","143513","Алехново","ru"
"RU","BRY","242246","Алешенка","ru"
"RU","BRY","242138","Алешинка","ru"
"RU","RYA","391466","Алешино","ru"
"RU","VGG","404478","Алешкин Хутор","ru"
"RU","TA","422478","Алешкин-Саплык","ru"
"BY","BR","","Алешковичи","ru"
"RU","NIZ","607616","Алешково","ru"
"RU","TUL","301126","Алешня","ru"
"RU","IRK","665160,665161","Алзамай","ru"
"RU","KC","369425","Али-Бердуковский","ru"
"RU","IN","386125","Али-Юрт","ru"
"RU","CU","429250","Аликово","ru"
"RU","BEL","309116","Алисовка","ru"
"RU","DA","368772","Алкадар","ru"
"RU","BA","452155","Алкино-2","ru"
"RU","TAM","393930","Алкужи","ru"
"RU","ULY","433542","Аллагулово","ru"
"RU","ALT","658719","Аллак","ru"
"RU","CE","366317","Аллерой","ru"
"RU","ROS","346735","Алмаз","ru"
"RU","SA","678181","Алмазный","ru"
"KZ","ALM","","Алматы","ru"
"RU","UD","427880","Алнаши","ru"
"RU","MO","431823","Алово","ru"
"RU","KHA","682051","Алонка","ru"
"RU","CE","366112,366130","Алпатово","ru"
"RU","MOS","140550","Алпатьево","ru"
"RU","BEL","","Алпеевка","ru"
"RU","KHM","628218","Алтай","ru"
"RU","ALT","659650,659651,659652,659653","Алтайское","ru"
"RU","KEM","","Алтамаш","ru"
"RU","IRK","669409","Алтарик","ru"
"RU","KB","361026","Алтуд","ru"
"RU","STA","356412","Алтухов Хутор","ru"
"RU","BRY","242150","Алтухово","ru"
"RU","SAM","446333","Алтухово","ru"
"RU","SVE","","Алтынай","ru"
"KZ","KUS","","Алтынсарина","ru"
"RU","CU","429850,429851","Алтышево","ru"
"RU","CU","429841","Алтышево-Люльский","ru"
"RU","CRI","298676,298677","Алупка","ru"
"RU","CRI","298500,298501,298502,298503,298504,298505,298506,298507,298508,298509,298510,298511,298512,298513,298514,298515,298516,298517,298518,298519","Алушта","ru"
"RU","VOR","397415","Алферовка","ru"
"RU","ARK","164273","Алферово","ru"
"RU","ARK","165221","Алферовская","ru"
"RU","VLG","161571","Алферовская","ru"
"RU","PNZ","440502","Алферьевка","ru"
"RU","MOS","141355","Алферьево","ru"
"RU","MOS","","Алфимово","ru"
"RU","DA","368555","Алхаджикент","ru"
"RU","CE","366505","Алхазурово","ru"
"RU","CE","366005,366006,366501","Алхан-Кала","ru"
"RU","ZAB","687211","Алханай","ru"
"RU","IN","386241","Алхасты","ru"
"RU","MOS","","Алхимово","ru"
"RU","KEM","652276","Алчедат","ru"
"RU","IRK","665150","Алыгджер","ru"
"RU","KYA","","Алыкель","ru"
"RU","TYU","626192","Алымка","ru"
"RU","MOW","","Алымовка","ru"
"BY","BR","225265","Альба","ru"
"BY","HO","","Альбинск","ru"
"BY","BR","225075","Альвус","ru"
"RU","TA","422711","Альдермыш","ru"
"RU","TA","423309","Алькеево","ru"
"RU","SAM","446498","Алькино","ru"
"RU","KGN","641130","Альменево","ru"
"RU","TA","423400,423403,423408,423440,423450,423451,423452,423453,423454,423455,423457,423458,423460,423461,423462,423464,423465,423469","Альметьевск","ru"
"BY","HO","","Альсагорка","ru"
"RU","KDA","","Альтмец","ru"
"RU","SAR","412141","Альшанка","ru"
"RU","KHM","628248","Алябьевский","ru"
"RU","TVE","100000","Алябьевский","ru"
"RU","ZAB","673775","Амазар","ru"
"KZ","SEV","","Амангельдинское","ru"
"KZ","KUS","","Амангельды","ru"
"KZ","SEV","151204","Амангельды","ru"
"RU","AMU","676625","Амаранка","ru"
"RU","KR","186675","Амбарный","ru"
"RU","SA","678600","Амга","ru"
"RU","PRI","692162","Амгу","ru"
"RU","KHA","682729","Амгунь","ru"
"RU","NEN","166744","Амдерма","ru"
"BY","HO","","Амельное","ru"
"RU","BA","452695","Амзя","ru"
"RU","CHE","456481","Аминево","ru"
"RU","PER","617811","Аминькай","ru"
"RU","YEV","679230","Амурзет","ru"
"RU","KHA","682640,682641,682643,682644,682645,682647","Амурск","ru"
"RU","CHE","457335","Амурский","ru"
"RU","AMU","676815","Амурское","ru"
"RU","CRI","","Амурское","ru"
"RU","CRI","","Ана-Юрт","ru"
"RU","KAM","684355","Анавгай","ru"
"RU","CHU","689000","Анадырь","ru"
"RU","KDA","","Ананьевский","ru"
"RU","MOS","","Ананьино","ru"
"RU","VLG","","Ананьино","ru"
"RU","YAR","150526","Ананьино","ru"
"RU","KDA","353410,353440,353441,353444,353445,353447,353450,353451,353454,353459","Анапа","ru"
"RU","KDA","353430,353431","Анапская","ru"
"RU","KDA","","Анапский","ru"
"RU","ROS","346964","Анастасиевка","ru"
"RU","KDA","353590,353591","Анастасиевская","ru"
"RU","CU","429026","Анастасово","ru"
"RU","KHA","680524","Анастасьевка","ru"
"RU","TA","422643","Анатыш","ru"
"RU","KRS","","Анахина","ru"
"RU","KYA","662433","Анаш","ru"
"RU","ARK","164553","Анашкино","ru"
"RU","IRK","666222","Анга","ru"
"RU","IRK","665800,665801,665804,665805,665806,665808,665809,665811,665813,665814,665816,665819,665821,665824,665825,665826,665827,665828,665829,665830,665831,665832,665833,665834,665835,665836,665838,665841,665852","Ангарск","ru"
"RU","KYA","663440","Ангарский","ru"
"RU","IRK","665917","Ангасолка","ru"
"RU","BA","452303","Ангасяк","ru"
"RU","MOS","","Ангелово","ru"
"RU","BU","671721","Ангоя","ru"
"RU","NEN","166713","Андег","ru"
"RU","STA","357217","Анджиевский","ru"
"RU","DA","368983","Анди","ru"
"RU","VLG","162920","Андомский Погост","ru"
"RU","KHM","628125","Андра","ru"
"RU","TVE","172800,172801","Андреаполь","ru"
"RU","BA","453322","Андреевка","ru"
"RU","BEL","309588","Андреевка","ru"
"RU","CRI","299813","Андреевка","ru"
"RU","CU","429715","Андреевка","ru"
"RU","KEM","650521","Андреевка","ru"
"RU","MO","431237","Андреевка","ru"
"RU","MOS","141551","Андреевка","ru"
"RU","OMS","644526","Андреевка","ru"
"RU","ORE","462136","Андреевка","ru"
"RU","PER","","Андреевка","ru"
"RU","PNZ","442215","Андреевка","ru"
"RU","SAM","446632","Андреевка","ru"
"RU","SAR","413805","Андреевка","ru"
"RU","ULY","433426","Андреевка","ru"
"KZ","ALM","","Андреевка","ru"
"KZ","SEV","150402","Андреевка","ru"
"BY","HO","247086","Андреевка","ru"
"RU","BEL","309004","Андреевка (Прелестненское с/п)","ru"
"RU","NIZ","","Андреево","ru"
"RU","VLA","601370","Андреево","ru"
"RU","ROS","346841","Андреево-Мелентьево","ru"
"RU","KDA","353794","Андреевская","ru"
"RU","CHE","457342","Андреевский","ru"
"RU","KIR","613561","Андреевский","ru"
"RU","TYU","625516","Андреевский","ru"
"RU","KOS","157094","Андреевское","ru"
"RU","MOW","108824","Андреевское","ru"
"RU","VLA","601612","Андреевское","ru"
"RU","YAR","152853","Андреевское","ru"
"RU","KDA","352417","Андреедмитриевский","ru"
"RU","SMO","215158","Андрейково","ru"
"RU","SVE","623363","Андрейково","ru"
"RU","TVE","170540","Андрейково","ru"
"RU","SVE","","Андриановичи","ru"
"RU","IRK","","Андриановская","ru"
"RU","PSK","181014","Андромер","ru"
"RU","KYA","662240","Андроново","ru"
"RU","SVE","","Андроново","ru"
"RU","ROS","346282","Андроповский","ru"
"RU","PSK","182313","Андрохново","ru"
"RU","CRI","","Андрусово","ru"
"RU","KDA","352567","Андрюки","ru"
"RU","SVE","624913","Андрюшино","ru"
"RU","TYU","626026","Андрюшино","ru"
"RU","KEM","652470,652471,652473,652474,652475,652476,652477,652479,652480,652484,652486,652488,652499","Анжеро-Судженск","ru"
"RU","KB","361350","Анзорей","ru"
"RU","SAK","694030","Анива","ru"
"RU","MOS","143271","Аниканово","ru"
"RU","MOS","","Анино","ru"
"RU","PRI","692847","Анисимовка","ru"
"RU","LEN","","Анисимово","ru"
"RU","VLG","162413","Анисимово","ru"
"RU","MOS","","Анискино","ru"
"RU","SAR","","Анисовка","ru"
"RU","SAR","413159","Анисовский","ru"
"RU","MOS","144060","Аничково","ru"
"RU","KO","168145","Анкерская","ru"
"RU","MOW","","Анкудиново","ru"
"RU","VOR","396250,396251,396252,396253,396254,396259","Анна","ru"
"RU","KLU","249122","Анненки","ru"
"RU","MO","431616","Анненково","ru"
"RU","PNZ","442515","Анненково","ru"
"RU","NIZ","606396","Анненковский Карьер","ru"
"RU","KHA","","Анненские Минеральные Воды","ru"
"RU","VLG","162952","Анненский Мост","ru"
"RU","CHE","457375","Анненское","ru"
"RU","LEN","","Аннино","ru"
"RU","BEL","309233","Анновка","ru"
"RU","CRI","","Анновка","ru"
"RU","VLA","601530","Анопино","ru"
"RU","MOS","","Аносино","ru"
"BY","HO","","Аносовичи","ru"
"RU","AMU","676257","Аносовский","ru"
"RU","SVE","","Анохинское","ru"
"RU","SMO","","Анохово","ru"
"RU","BEL","","Анпиловка","ru"
"RU","DA","368981","Ансалта","ru"
"RU","YAN","629371","Антипаюта","ru"
"RU","ALT","659458","Антипино","ru"
"RU","KOS","","Антипино","ru"
"RU","MOS","","Антипино","ru"
"RU","PER","619194","Антипино","ru"
"RU","TYU","626049","Антипино","ru"
"RU","UD","427981","Антипино","ru"
"RU","SVE","","Антипинский","ru"
"RU","ZAB","672015","Антипиха","ru"
"RU","VGG","403856","Антиповка","ru"
"RU","ROS","347328","Антонов","ru"
"RU","VGG","404330","Антонов","ru"
"BY","HO","","Антонов","ru"
"RU","AMU","676758","Антоновка","ru"
"RU","BEL","","Антоновка","ru"
"RU","SA","678472","Антоновка","ru"
"RU","SAM","446554","Антоновка","ru"
"RU","SVE","","Антоновка","ru"
