Country,OblName,City,edost
RU,BA,Благовещенск,553
RU,AMU,Благовещенск,1000
RU,STA,Благодарный,474
RU,VOR,Бобров,54
RU,SVE,Богданович,731
RU,TUL,Богородицк,233
RU,NIZ,Богородск,624
RU,KYA,Боготол,862
RU,IRK,Бодайбо,886
RU,LEN,Бокситогорск,295
RU,TVE,Бологое,218
RU,NVS,Болотное,938
RU,PRI,Большой Камень,976
RU,NIZ,Бор,625
RU,ZAB,Борзя,958
RU,BEL,Борисовка,8
RU,VOR,Борисоглебск,47
RU,NGR,Боровичи,339
RU,TYU,Боровский,772
RU,KYA,Бородино,863
RU,IRK,Братск,887
RU,MOS,Бронницы,101
RU,KDA,Брюховецкая,428
RU,BRY,Брянск,12
RU,TA,Бугульма,582
RU,ORE,Бугуруслан,642
RU,STA,Буденновск,459
RU,ORE,Бузулук,643
RU,TA,Буинск,583
RU,KOS,Буй,82
RU,DA,Буйнакск,355
RU,VOR,Бутурлиновка,55
RU,NGR,Валдай,341
RU,BEL,Валуйки,3
RU,KHA,Ванино,996
RU,KDA,Варениковская,437
RU,TA,Васильево,594
RU,PSK,Великие Луки,347
RU,NGR,Великий Новгород,338
RU,VLG,Великий Устюг,283
RU,ARK,Вельск,279
RU,TUL,Венев,242
RU,PER,Верещагино,674
RU,SMO,Верхнеднепровский,203
RU,CHE,Верхний Уфалей,804
RU,SVE,Верхняя Пышма,732
RU,SVE,Верхняя Салда,734
RU,MOS,Видное,144
RU,SA,Вилюйск,2988
RU,KAM,Вилючинск,1009
RU,IRK,Вихоревка,899
RU,IVA,Вичуга,62
RU,PRI,Владивосток,971
RU,SE,Владикавказ,388
RU,VLA,Владимир,26
RU,MOW,Внуково,186
RU,VGG,Волгоград,494
RU,ROS,Волгодонск,519
RU,KOS,Волгореченск,83
RU,ME,Волжск,571
RU,VGG,Волжский,496
RU,VLG,Вологда,282
RU,MOS,Волоколамск,129
RU,LEN,Волхов,296
RU,SAR,Вольск,699
RU,KO,Воргашор,264
RU,KO,Воркута,263
RU,VOR,Воронеж,45
RU,MOS,Воскресенск,130
RU,UD,Воткинск,601
RU,PRI,Врангель,981
RU,LEN,Всеволожск,297
RU,KO,Вуктыл,265
RU,LEN,Выборг,298
RU,NIZ,Выкса,626
RU,KDA,Выселки,429
RU,TVE,Вышний Волочек,219
RU,KHA,Вяземский,998
RU,VLA,Вязники,28
RU,SMO,Вязьма,201
RU,KIR,Вятские Поляны,614
RU,YAR,Гаврилов-Ям,253
RU,SMO,Гагарин,202
RU,ORE,Гай,644
RU,KOS,Галич,84
RU,LEN,Гатчина,299
RU,KGD,Гвардейск,292
RU,KDA,Геленджик,411
RU,STA,Георгиевск,460
RU,AD,Гиагинская,351
RU,UD,Глазов,602
RU,MOS,Голицыно,161
RU,AL,Горно-Алтайск,831
RU,CHE,Горняк,812
RU,ALT,Горняк,857
RU,NIZ,Городец,627
RU,VGG,Городище,501
RU,VLA,Гороховец,38
RU,VGG,Горьковский,495
RU,STA,Горячеводский,469
RU,KDA,Горячий Ключ,412
RU,KEM,Грамотеино,910
RU,VOR,Грибановский,56
RU,CE,Грозный,394
RU,LIP,Грязи,97
RU,VLG,Грязовец,286
RU,PER,Губаха,665
RU,BEL,Губкин,4
RU,YAN,Губкинский,794
RU,CE,Гудермес,396
RU,ROS,Гуково,520
RU,KDA,Гулькевичи,430
RU,KEM,Гурьевск,913
RU,KGD,Гусев,293
RU,BU,Гусиноозерск,837
RU,VLA,Гусь-Хрустальный,29
RU,BA,Давлеканово,554
RU,DA,Дагестанские Огни,356
RU,KGN,Далматово,720
RU,PRI,Дальнегорск,977
RU,PRI,Дальнереченск,978
RU,YAR,Данилов,254
RU,LIP,Данков,98
RU,SVE,Дегтярск,756
RU,MOS,Дедовск,139
RU,DA,Дербент,357
RU,SMO,Десногорск,200
RU,TA,Джалиль,599
RU,CRI,Джанкой,2288
RU,NIZ,Дзержинск,628
RU,MOS,Дзержинский,102
RU,KYA,Дивногорск,864
RU,STA,Дивное,472
RU,ULY,Димитровград,715
RU,KDA,Динская,431
RU,MOS,Дмитров,133
RU,PER,Добрянка,666
RU,MOS,Долгопрудный,103
RU,MOS,Домодедово,134
RU,ROS,Донецк,521
RU,STA,Донское,487
RU,TUL,Донской,234
RU,MOS,Дубна,104
RU,VGG,Дубовка,502
RU,KB,Дугулубгей,375
RU,KYA,Дудинка,883
RU,BA,Дюртюли,555
RU,BRY,Дятьково,13
RU,CRI,Евпатория,2289
RU,ROS,Егорлыкская,534
RU,MOS,Егорьевск,136
RU,KDA,Ейск,413
RU,SVE,Екатеринбург,724
RU,TA,Елабуга,584
RU,VGG,Елань,503
RU,LIP,Елец,96
RU,KDA,Елизаветинская,407
RU,KAM,Елизово,1010
RU,CHE,Еманжелинск,805
RU,KO,Емва,271
RU,KYA,Енисейск,865
RU,SAR,Ершов,708
RU,STA,Ессентуки,461
RU,STA,Ессентукская,484
RU,TUL,Ефремов,236
RU,SA,Жатай,2989
RU,STA,Железноводск,462
RU,KRS,Железногорск,89
RU,KYA,Железногорск,866
RU,IRK,Железногорск-Илимский,900
RU,MOS,Железнодорожный,105
RU,TAM,Жердевка,214
RU,SAM,Жигулевск,682
RU,VGG,Жирновск,504
RU,BRY,Жуковка,18
RU,MOS,Жуковский,106
RU,AMU,Завитинск,1007
RU,TYU,Заводоуковск,768
RU,SE,Заводской,389
RU,PRI,Заводской,975
RU,NIZ,Заволжье,633
RU,TA,Заинск,585
RU,MUR,Заполярный,336
RU,MOS,Зарайск,137
RU,PNZ,Заречный,656
RU,SVE,Заречный,735
RU,ALT,Заринск,850
RU,ROS,Зверево,522
RU,KYA,Зеленогорск,867
RU,MOS,Зеленоград,184
RU,TA,Зеленодольск,586
RU,STA,Зеленокумск,486
RU,KC,Зеленчукская,385
RU,ROS,Зерноград,535
RU,AMU,Зея,1002
RU,IRK,Зима,888
RU,ROS,Зимовники,536
RU,CHE,Златоуст,806
RU,AST,Знаменск,491
RU,IVA,Иваново,61
RU,MOS,Ивантеевка,107
RU,SVE,Ивдель,736
RU,UD,Игра,606
RU,UD,Ижевск,600
RU,DA,Избербаш,358
RU,KHM,Излучинск,788
RU,STA,Изобильный,476
RU,KYA,Иланский,878
RU,KDA,Ильский,448
RU,ULY,Инза,716
RU,STA,Иноземцево,463
RU,KO,Инта,266
RU,STA,Ипатово,477
RU,SVE,Ирбит,737
RU,IRK,Иркутск,884
RU,OMS,Исилькуль,948
RU,NVS,Искитим,934
RU,MOS,Истра,138
RU,TYU,Ишим,769
RU,BA,Ишимбай,556
RU,ME,Йошкар-Ола,570
RU,PRI,Кавалерово,986
RU,TA,Казань,578
RU,KYA,Кайеркан,873
RU,VOR,Калач,57
RU,VGG,Калач-на-Дону,505
RU,OMS,Калачинск,949
RU,KGD,Калининград,288
RU,MOS,Калининец,155
RU,KDA,Калинино,405
RU,SAR,Калининск,709
RU,KEM,Калтан,914
RU,KLU,Калуга,71
RU,TVE,Калязин,228
RU,PNZ,Каменка,657
RU,SVE,Каменск-Уральский,738
RU,ROS,Каменск-Шахтинский,523
RU,ALT,Камень-на-Оби,851
RU,VLA,Камешково,39
RU,TA,Камские Поляны,598
RU,AST,Камызяк,492
RU,VGG,Камышин,497
RU,SVE,Камышлов,739
RU,CU,Канаш,610
RU,MUR,Кандалакша,327
RU,KDA,Каневская,433
RU,KYA,Канск,868
RU,IN,Кантышево,366
RU,VLA,Карабаново,36
RU,CHE,Карабаш,807
RU,IN,Карабулак,365
RU,NVS,Карасук,940
RU,KC,Карачаевск,384
RU,BRY,Карачев,19
RU,SVE,Карпинск,740
RU,CHE,Карталы,808
RU,RYA,Касимов,191
RU,CHE,Касли,809
RU,DA,Каспийск,359
RU,CHE,Катав-Ивановск,810
RU,KGN,Катайск,721
RU,SVE,Качканар,741
RU,TVE,Кашин,220
RU,MOS,Кашира,140
RU,KEM,Кедровка,906
RU,KEM,Кемерово,905
RU,KR,Кемь,256
RU,CRI,Керчь,2290
RU,PER,Кизел,667
RU,DA,Кизилюрт,360
RU,DA,Кизляр,361
RU,TUL,Кимовск,237
RU,TVE,Кимры,221
RU,LEN,Кингисепп,300
RU,SAM,Кинель,683
RU,SAM,Кинель-Черкасcы,692
RU,IVA,Кинешма,63
RU,TUL,Киреевск,243
RU,VLA,Киржач,40
RU,LEN,Кириши,301
RU,KLU,Киров,72
RU,KIR,Киров,613
RU,SVE,Кировград,742
RU,KIR,Кирово-Чепецк,615
RU,LEN,Кировск,302
RU,MUR,Кировск,328
RU,TAM,Кирсанов,208
RU,KEM,Киселевск,915
RU,STA,Кисловодск,464
RU,BRY,Климово,20
RU,MOS,Климовск,108
RU,MOS,Клин,141
RU,BRY,Клинцы,14
RU,MUR,Ковдор,334
RU,VLA,Ковров,30
RU,MO,Ковылкино,575
RU,KHM,Когалым,775
RU,KYA,Кодинск,879
RU,KLU,Козельск,78
RU,PER,Козьмодемьянск,572
RU,MOS,Коломна,109
RU,TOM,Колпашево,953
RU,SPE,Колпино,317
RU,SVE,Кольцово,725
RU,VLA,Кольчугино,31
RU,LEN,Коммунар,314
RU,KHA,Комсомольск-на-Амуре,993
RU,MO,Комсомольский,577
RU,TVE,Конаково,222
RU,KR,Кондопога,257
RU,KLU,Кондрово,76
RU,ROS,Константиновск,537
RU,CHE,Копейск,811
RU,RYA,Кораблино,194
RU,KDA,Кореновск,434
RU,CHE,Коркино,813
RU,MOS,Королев,110
RU,SAK,Корсаков,1013
RU,ARK,Коряжма,273
RU,TUL,Косая Гора,231
RU,KR,Костомукша,258
RU,KOS,Кострома,81
RU,MOS,Котельники,148
RU,VGG,Котельниково,507
RU,KIR,Котельнич,616
RU,ARK,Котлас,274
RU,VGG,Котово,508
RU,TAM,Котовск,209
RU,IVA,Кохма,67
RU,NVS,Коченево,941
RU,STA,Кочубеевское,479
RU,MOS,Красноармейск,111
RU,SAR,Красноармейск,700
RU,PER,Красновишерск,675
RU,STA,Красногвардейское,480
RU,MOS,Красногорск,142
RU,KDA,Краснодар,404
RU,SPE,Красное Село,319
RU,MOS,Краснознаменск,112
RU,ZAB,Краснокаменск,959
RU,PER,Краснокамск,668
RU,NVS,Краснообск,943
RU,CRI,Красноперекопск,2291
RU,VGG,Краснослободск,513
RU,SVE,Краснотурьинск,743
RU,SVE,Красноуральск,744
RU,SVE,Красноуфимск,745
RU,KYA,Красноярск,860
RU,SAR,Красный Кут,710
RU,ROS,Красный Сулин,524
RU,KDA,Кропоткин,414
RU,KDA,Крыловская,436
RU,KDA,Крымск,415
RU,MOS,Крюково,185
RU,NIZ,Кстово,629
RU,MOS,Кубинка,162
RU,ORE,Кувандык,645
RU,PER,Кудымкар,680
RU,PNZ,Кузнецк,658
RU,NVS,Куйбышев,935
RU,TA,Кукмор,595
RU,NIZ,Кулебаки,630
RU,ROS,Кулешовка,531
RU,ALT,Кулунда,856
RU,BA,Кумертау,557
RU,PER,Кунгур,669
RU,NVS,Купино,942
RU,KYA,Курагино,880
RU,KGN,Курган,718
RU,KDA,Курганинск,438
RU,MOS,Куровское,164
RU,KRS,Курск,88
RU,KGN,Куртамыш ,722
RU,CE,Курчалой,400
RU,KRS,Курчатов,90
RU,CHE,Куса,829
RU,SVE,Кушва,746
RU,KDA,Кущевская,439
RU,TY,Кызыл,838
RU,CHE,Кыштым,815
RU,BU,Кяхта,836
RU,KDA,Лабинск,416
RU,YAN,Лабытнанги,795
RU,KL,Лагань,382
RU,KDA,Ладожская,456
RU,VLA,Лакинск,34
RU,KHM,Лангепас,776
RU,LIP,Лебедянь,99
RU,KDA,Ленинградская,440
RU,TA,Лениногорск,587
RU,VGG,Ленинск,509
RU,KEM,Ленинск-Кузнецкий,916
RU,SA,Ленск,968
RU,STA,Лермонтов,465
RU,SVE,Лесной,747
RU,PRI,Лесозаводск,979
RU,KYA,Лесосибирск,869
RU,ORL,Ливны,188
RU,MOS,Ликино-Дулево,165
RU,NVS,Линево,939
RU,LIP,Липецк,95
RU,VOR,Лиски,48
RU,MOS,Лобня,113
RU,LEN,Лодейное Поле,303
RU,MOS,Лосино-Петровский,182
RU,LEN,Луга,304
RU,MOS,Луховицы,146
RU,PRI,Лучегорск,987
RU,NIZ,Лысково,634
RU,PER,Лысьва,670
RU,MOS,Лыткарино,114
RU,KRS,Льгов,91
RU,MOS,Люберцы,147
RU,KLU,Людиново,73
RU,KHM,Лянтор,790
RU,MAG,Магадан,1011
RU,IN,Магас,2284
RU,CHE,Магнитогорск,816
RU,AD,Майкоп,350
RU,AL,Майма,832
RU,KB,Майский,376
RU,MOS,Малаховка,149
RU,NGR,Малая Вишера,342
RU,IN,Малгобек,363
RU,KLU,Малоярославец,79
RU,KOS,Мантурово,85
RU,KEM,Мариинск,918
RU,SAR,Маркс,701
RU,ROS,Матвеев Курган,538
RU,DA,Махачкала,354
RU,KHM,Мегион,777
RU,ME,Медведево,573
RU,KDA,Медведовская,454
RU,KR,Медвежьегорск,261
RU,ORE,Медногорск,646
RU,BA,Межгорье,558
RU,KEM,Междуреченск,919
RU,VLA,Меленки,41
RU,BA,Мелеуз,559
RU,TA,Менделеевск,596
RU,TA,Мензелинск,597
RU,SPE,Металлострой,318
RU,CHE,Миасс,817
RU,ROS,Миллерово,525
RU,STA,Минеральные Воды,466
RU,KYA,Минусинск,870
RU,ARK,Мирный,275
RU,SA,Мирный,965
RU,VGG,Михайловка,498
RU,STA,Михайловск,488
RU,TAM,Мичуринск,210
RU,MOS,Можайск,151
RU,UD,Можга,603
RU,SE,Моздок,392
RU,MOS,Монино,183
RU,MUR,Мончегорск,329
RU,ROS,Морозовск,539
RU,TAM,Моршанск,211
RU,MOW,Москва,1019
RU,MOS,Московский,145
RU,KDA,Мостовской,441
RU,YAN,Муравленко,796
RU,MUR,Мурманск,325
RU,MUR,Мурмаши,335
RU,VLA,Муром,32
RU,ORL,Мценск,189
RU,KEM,Мыски,920
RU,MOS,Мытищи,152
RU,TA,Набережные Челны,588
RU,NIZ,Навашино,635
RU,BRY,Навля,21
RU,YAN,Надым,797
RU,KYA,Назарово,871
RU,IN,Назрань,364
RU,KB,Нальчик,372
RU,MOS,Наро-Фоминск,153
RU,KB,Нарткала,378
RU,NEN,Нарьян-Мар,281
RU,MOS,Нахабино,143
RU,PRI,Находка,980
RU,PSK,Невель,348
RU,SAK,Невельск,1014
RU,STA,Невинномысск,467
RU,SVE,Невьянск,748
RU,STA,Незлобная,475
RU,TVE,Нелидово,223
RU,KOS,Нерехта,86
RU,ZAB,Нерчинск,962
RU,SA,Нерюнгри,966
RU,IN,Нестеровская,370
RU,SAM,Нефтегорск,693
RU,BA,Нефтекамск,560
RU,STA,Нефтекумск,481
RU,KHM,Нефтеюганск,778
RU,KHM,Нижневартовск,779
RU,TA,Нижнекамск,589
RU,IRK,Нижнеудинск,889
RU,PNZ,Нижний Ломов,660
RU,NIZ,Нижний Новгород,621
RU,SVE,Нижний Тагил,749
RU,SVE,Нижняя Салда,750
RU,SVE,Нижняя Тура,751
RU,MUR,Никель,337
RU,VGG,Николаевск,510
RU,KHA,Николаевск-на-Амуре,994
RU,PNZ,Никольск,661
RU,MOS,Никольско-Архенгельский,128
RU,LEN,Никольское,316
RU,SVE,Новая Ляля,762
RU,VOR,Новая Усмань,58
RU,STA,Новоалександровск,482
RU,ALT,Новоалтайск,852
RU,VGG,Новоаннинский,511
RU,VOR,Нововоронеж,49
RU,ARK,Новодвинск,276
RU,BRY,Новозыбков,15
RU,KDA,Новокубанск,442
RU,KEM,Новокузнецк,921
RU,SAM,Новокуйбышевск,684
RU,RYA,Новомичуринск,195
RU,TUL,Новомосковск,238
RU,STA,Новопавловск,478
RU,KDA,Новопокровская,443
RU,KDA,Новороссийск,417
RU,NVS,Новосибирск,931
RU,ALT,Новосиликатный,845
RU,CHE,Новосинеглазовский,802
RU,KDA,Новотитаровская,432
RU,ORE,Новотроицк,647
RU,SAR,Новоузенск,711
RU,ULY,Новоульяновск,717
RU,SVE,Новоуральск,752
RU,CU,Новочебоксарск,611
RU,ROS,Новочеркасск,526
RU,ROS,Новошахтинск,527
RU,KEM,Новый Городок,911
RU,BEL,Новый Оскол,9
RU,YAN,Новый Уренгой,798
RU,MOS,Ногинск,156
RU,KYA,Норильск,872
RU,YAN,Ноябрьск,799
RU,TA,Нурлат,590
RU,PER,Нытва,676
RU,KHM,Нягань,780
RU,ARK,Няндома,280
RU,KLU,Обнинск,74
RU,KRS,Обоянь,93
RU,NVS,Обь,936
RU,MOS,Одинцово,160
RU,CHE,Озерск,825
RU,MOS,Озеры,163
RU,SAM,Октябрьск,685
RU,BA,Октябрьский,561
RU,NGR,Окуловка,343
RU,MUR,Оленегорск,330
RU,OMS,Омск,947
RU,KIR,Омутнинск,618
RU,ARK,Онега,277
RU,IN,Орджоникидзевская станица,369
RU,ORL,Орел,187
RU,ORE,Оренбург,640
RU,MOS,Орехово-Зуево,115
RU,ROS,Орловский,542
RU,ORE,Орск,648
RU,PER,Оса,677
RU,KEM,Осинники,922
RU,TVE,Осташков,224
RU,PSK,Остров,349
RU,VOR,Острогожск,50
RU,KDA,Отрадная,444
RU,LEN,Отрадное,315
RU,SAM,Отрадный,686
RU,SAK,Оха,1015
RU,PER,Очер,678
RU,NIZ,Павлово,631
RU,VOR,Павловск,59
RU,SPE,Павловск,321
RU,ALT,Павловск,858
RU,KDA,Павловская,445
RU,MOS,Павловский Посад,166
RU,VGG,Палласовка,512
RU,PRI,Партизанск,982
RU,KDA,Пашковский,406
RU,PNZ,Пенза,655
RU,NIZ,Первомайск,636
RU,SVE,Первоуральск,753
RU,MOS,Пересвет,173
RU,YAR,Переславль-Залесский,248
RU,PER,Пермь,662
RU,ROS,Персиановский,541
RU,NGR,Пестово,344
RU,SPE,Петергоф (Петродворец),322
RU,VGG,Петров Вал,506
RU,SAR,Петровск,702
RU,ZAB,Петровск-Забайкальский ,960
RU,KR,Петрозаводск,255
RU,KAM,Петропавловск-Камчатский,1008
RU,VLA,Петушки,42
RU,KO,Печора,267
RU,LEN,Пикалево,305
RU,TUL,Плавск,244
RU,CHE,Пласт,818
RU,VOR,Поворино,51
RU,MOS,Подольск,116
RU,LEN,Подпорожье,306
RU,KHM,Пойковский,787
RU,KHM,Покачи,781
RU,VLA,Покров,43
RU,SVE,Полевской,754
RU,KDA,Полтавская,435
RU,KEM,Полысаево,917
RU,MUR,Полярные Зори,331
RU,MUR,Полярный,332
RU,SAK,Поронайск,1016
RU,SAM,Похвистнево,687
RU,BRY,Почеп,22
RU,IVA,Приволжск,68
RU,SAR,Приволжский,706
RU,VOR,Придонской,46
RU,KDA,Приморско-Ахтарск,446
RU,LEN,Приозерск,307
RU,BA,Приютово,550
RU,KEM,Прокопьевск,923
RU,ROS,Пролетарск,543
RU,KEM,Промышленная,928
RU,MOS,Протвино,117
RU,KB,Прохладный,373
RU,PSK,Псков,346
RU,SAR,Пугачев,703
RU,SPE,Пушкин,323
RU,MOS,Пушкино,168
RU,MOS,Пущино,118
RU,KHM,Пыть-Ях,782
RU,STA,Пятигорск,468
RU,VLA,Радужный,35
RU,KHM,Радужный,783
RU,BA,Раевский,568
RU,BEL,Разумное,7
RU,AMU,Райчихинск,1003
RU,MOS,Раменское,170
RU,TAM,Рассказово,212
RU,SVE,Ревда,755
RU,SVE,Реж,757
RU,MOS,Реутов,119
RU,SVE,Рефтинский,729
RU,TVE,Ржев,225
RU,IVA,Родники,69
RU,CHE,Роза,814
RU,SMO,Рославль,204
RU,VOR,Россошь,52
RU,YAR,Ростов,249
RU,ROS,Ростов-на-Дону,515
RU,MOS,Рошаль,120
RU,SAR,Ртищево,704
RU,ALT,Рубцовск,853
RU,MO,Рузаевка,576
RU,YAR,Рыбинск,250
RU,RYA,Рыбное,196
RU,KRS,Рыльск,94
RU,RYA,Ряжск,197
RU,RYA,Рязань,190
RU,CRI,Саки,2292
RU,BA,Салават,562
RU,YAN,Салехард,793
RU,SAM,Самара,681
RU,SPE,Санкт-Петербург,1020
RU,ORE,Саракташ,653
RU,MO,Саранск,574
RU,UD,Сарапул,604
RU,SAR,Саратов,695
RU,NIZ,Саров,632
RU,RYA,Сасово,192
RU,CHE,Сатка,819
RU,SMO,Сафоново,205
RU,KK,Саяногорск,840
RU,IRK,Саянск,890
RU,STA,Светлоград,483
RU,KGD,Светлый,290
RU,LEN,Светогорск,313
RU,IRK,Свирск,897
RU,AMU,Свободный,1004
RU,STA,Свободы,470
RU,SEV,Севастополь,2293
RU,TUL,Северо-Задонск,235
RU,BU,Северобайкальск,834
RU,ARK,Северодвинск,278
RU,MUR,Североморск,333
RU,SVE,Североуральск,758
RU,TOM,Северск,954
RU,KDA,Северская,449
RU,KR,Сегежа,259
RU,BU,Селенгинск,835
RU,BRY,Сельцо,16
RU,NIZ,Семенов,637
RU,ROS,Семикаракорск,544
RU,VOR,Семилуки,60
RU,NIZ,Сергач,638
RU,MOS,Сергиев Посад,172
RU,PNZ,Сердобск,659
RU,SVE,Серов,759
RU,MOS,Серпухов,121
RU,LEN,Сертолово,308
RU,SPE,Сестрорецк,320
RU,BA,Сибай,563
RU,CHE,Сим,827
RU,CRI,Симферополь,2294
RU,RYA,Скопин,193
RU,ALT,Славгород,854
RU,PRI,Славянка,988
RU,KDA,Славянск-на-Кубани,418
RU,LEN,Сланцы,309
RU,KIR,Слободской,617
RU,IRK,Слюдянка,901
RU,SMO,Смоленск,199
RU,CHE,Снежинск,826
RU,VLA,Собинка,33
RU,KGD,Советск,291
RU,KIR,Советск,619
RU,KHA,Советская Гавань,995
RU,KHM,Советский,789
RU,PER,Соликамск,671
RU,MOS,Солнечногорск,175
RU,KHA,Солнечный,999
RU,ORE,Соль-Илецк,649
RU,ORE,Сорочинск,650
RU,KR,Сортавала,260
RU,KYA,Сосновоборск,875
RU,LEN,Сосновый Бор,310
RU,KO,Сосногорск,268
RU,MOS,Софрино,169
RU,KDA,Сочи,419
RU,PRI,Спасск-Дальний,983
RU,SVE,Среднеуральск,733
RU,STA,Ставрополь,458
RU,MOS,Старая Купавна,159
RU,NGR,Старая Русса,340
RU,BRY,Стародуб,23
RU,KDA,Староминская,450
RU,KDA,Старощербиновская,457
RU,BEL,Старый Оскол,5
RU,SAR,Степное,712
RU,BA,Стерлитамак,564
RU,TOM,Стрежевой,955
RU,BEL,Строитель,11
RU,TAM,Строитель,215
RU,VLA,Струнино,37
RU,MOS,Ступино,176
RU,TUL,Суворов,245
RU,STA,Суворовская,485
RU,CRI,Судак,2295
RU,NVS,Сузун,944
RU,KHM,Сургут,784
RU,VGG,Суровикино,514
RU,IN,Сурхахи,367
RU,KLU,Сухиничи,80
RU,SAM,Суходол,694
RU,SVE,Сухой Лог,760
RU,MOS,Сходня,178
RU,SAM,Сызрань,688
RU,KO,Сыктывкар,262
RU,SVE,Сысерть,763
RU,SVE,Тавда,761
RU,ROS,Таганрог,529
RU,KEM,Тайга,924
RU,IRK,Тайшет,891
RU,SVE,Талица,765
RU,KYA,Талнах,874
RU,ALT,Тальменка,859
RU,TAM,Тамбов,207
RU,OMS,Тара,950
RU,YAN,Тарко-Сале,800
RU,NVS,Татарск,937
RU,KEM,Таштагол,925
RU,KDA,Тбилисская,451
RU,TVE,Тверь,216
RU,IVA,Тейково,64
RU,KDA,Темрюк,452
RU,KB,Терек,377
RU,KDA,Тимашевск,453
RU,LEN,Тихвин,311
RU,KDA,Тихорецк,420
RU,TYU,Тобольск,770
RU,KLU,Товарково,77
RU,NVS,Тогучин,945
RU,SAM,Тольятти,689
RU,MOS,Томилино,150
RU,TOM,Томск,951
RU,KEM,Топки,926
RU,TVE,Торжок,226
RU,TVE,Торопец,229
RU,LEN,Тосно,312
RU,ORE,Тоцкое Второе,654
RU,CHE,Трехгорный,824
RU,MOS,Троицк,122
RU,CHE,Троицк,820
RU,IN,Троицкая,371
RU,BRY,Трубчевск,24
RU,PRI,Трудовой,972
RU,KDA,Туапсе,421
RU,BA,Туймазы,565
RU,TUL,Тула,230
RU,IRK,Тулун,892
RU,SVE,Туринск,766
RU,YAR,Тутаев,251
RU,MOS,Тучково,171
RU,AMU,Тында,1005
RU,KB,Тырныауз,380
RU,TYU,Тюмень,767
RU,KEM,Тяжинский,929
RU,UD,Ува,607
RU,TAM,Уварово,213
RU,YAR,Углич,252
RU,SA,Удачный,969
RU,TVE,Удомля,227
RU,KYA,Ужур,881
RU,TUL,Узловая,239
RU,BU,Улан-Удэ,833
RU,ULY,Ульяновск,713
RU,BRY,Унеча,25
RU,KHM,Урай,785
RU,CE,Урус-Мартан,397
RU,VGG,Урюпинск,499
RU,KO,Усинск,269
RU,LIP,Усмань,100
RU,IRK,Усолье-Сибирское,893
RU,PRI,Уссурийск,984
RU,KK,Усть-Абакан,843
RU,KC,Усть-Джегута,387
RU,IRK,Усть-Илимск,894
RU,CHE,Усть-Катав,821
