Country,ID,OblName,PostCodeList,City
RU,17163,MOS,,Авдулово-1
RU,17171,MOS,,Авдулово-2
RU,46106,SVE,624015,Аверино
RU,45113,DA,"368832,368833",Аверьяновка
RU,1374,MOS,,Авиагородок
RU,15724,ORE,,Авиагородок
RU,14854,ALT,,Авиатор
RU,24441,ROS,346960,Авило-Успенка
RU,37483,VGG,403091,Авилов
RU,29686,BEL,,Авиловка
RU,38401,ARK,165511,Авнюгский
RU,35607,LEN,187432,Аврово
RU,1658,MOS,142645,Авсюнино
RU,16130,MOS,,Автополигон
RU,36337,CE,366306,Автуры
RU,43666,KLU,249812,Авчурино
RU,44147,OMS,646544,Авяк
RU,23956,LEN,,Агалатово
RU,36425,KHM,628637,Аган
RU,15897,KOS,,Аганино
RU,3134,CHE,"457400,457401",Агаповка
RU,17172,MOS,,Агарино
RU,15808,MOS,143088,Агафоново
RU,35700,DA,368900,Агвали
RU,39685,SA,678271,Агдары
RU,42220,TUL,301401,Агеево
RU,39697,SMO,215671,Агибалово
RU,634,BA,"452920,452925",Агидель
RU,1434,ZAB,"674485,687000,687599",Агинское
RU,843,KYA,663580,Агинское
RU,24247,KHM,628245,Агириш
RU,39105,CE,366336,Агишты
RU,2626,KDA,352830,Агой
RU,29687,BEL,309952,Агошевка
RU,34439,CRI,,Аграрное
RU,34186,ROS,,Аграфеновка
RU,34273,RYA,390522,Агро-Пустынь
RU,1659,MOS,143511,Агрогородок
RU,15323,KDA,353207,Агроном
RU,1497,TA,"422230,422231,422233,422239",Агрыз
RU,38284,TA,422404,Адав-Тулумбаево
RU,34296,KDA,353351,Адагум
RU,16713,AD,385336,Адамий
RU,13034,ORE,"462830,462831,462849",Адамовка
RU,34505,ORE,461287,Адамовка
RU,44709,RYA,391541,Аделино
RU,33052,KDA,,Адербиевка
RU,45087,KO,168041,Аджером
RU,43403,KC,369358,Адиль-Халк
RU,44739,DA,,Адиль-Янгиюрт
RU,40848,DA,368038,Адильотар
RU,326,KDA,,Адлер
RU,37694,KLU,249960,Адуево
RU,2547,KC,369330,Адыге Хабль
RU,1588,AD,"385200,385202,385271",Адыгейск
RU,36959,KIR,612077,Адышево
RU,36708,OMS,646395,Аев
RU,44610,CE,366907,Азамат-Юрт
RU,34593,SVE,,Азанка
RU,13731,ME,425225,Азаново
RU,37125,TUL,301007,Азаровка
RU,46660,SVE,624310,Азиатская
RU,37856,SVE,,Азигулово
RU,33801,CU,429214,Азим-Сирма
RU,45190,UD,427025,Азино
RU,1498,TA,"423330,423331,423332,423349",Азнакаево
RU,1068,ROS,"346780,346781,346782,346783,346787,346789,346799",Азов
RU,39365,CRI,,Азов
RU,1767,BA,"453030,453039",Азово
RU,710,OMS,"646880,646881",Азово
RU,1769,PER,,Азово
RU,1770,PSK,181423,Азово
RU,1768,KIR,,Азово
RU,34842,KDA,353245,Азовская
RU,16849,AST,416335,Азовский
RU,33337,KGD,238323,Азовское
RU,4635,CRI,296178,Азовское
RU,42501,YAN,629651,Азовы
RU,42355,ME,425151,Азъял
RU,45936,BA,452968,Азяково
RU,45987,KDA,354342,Аибга
RU,34699,BA,"452057",Аитово
RU,42973,BA,452823,Айбуляк
RU,39214,CRI,,Айвазовское
RU,39441,CRI,,Айвовое
RU,42357,STA,356715,Айгурский
RU,29688,BEL,309761,Айдар
RU,32127,VOR,396002,Айдарово
RU,45676,TA,422534,Айдарово
RU,39486,CRI,,Айкаван
RU,2604,KO,"169040,169069",Айкино
RU,43213,CHE,456926,Айлино
RU,37567,DA,368519,Аймаумахи
RU,35904,ORE,462216,Айтуар
RU,2989,SA,"678190,678191",Айхал
RU,34523,TA,422522,Айша
RU,3067,TY,"668045,668050,668051",Ак-Довурак
RU,13256,TOM,,Академгородок
RU,36686,TVE,171105,Академический
RU,42664,MOS,,Акатово
RU,46768,MOS,"143921,143912,143922,143956,143909,143903,143985,143988,143930,105173",Акатово
RU,43923,SMO,215002,Акатово
RU,17173,MOS,"142800,142806,142811,142812,142813,142814,142815,142816,142817,142820,142821,142822,142825,142830,142832,142833,142840,142841,142842,142845,142846,142850,142851,142852,142853,142854,142855,142856,142857,142860,142861,142862",Акатово
RU,36012,MOS,140478,Акатьево
RU,22889,KEM,652035,Акация
RU,37555,TA,423225,Акбаш
RU,37591,TA,423958,Акбаш
RU,16269,BA,452414,Акбердино
RU,13035,ORE,"461550,461551",Акбулак
RU,45242,ORE,462771,Акжарское
RU,33860,CRI,,Акимовка
RU,44227,AL,658342,Акимовка
RU,16197,MOW,,Акиньшино
RU,13925,ORE,462371,Аккермановка
RU,35796,KDA,353342,Аккерменка
RU,45931,BA,453676,Акмурун
RU,46385,DA,368110,Акнада
RU,31796,CU,429532,Акрамово
RU,39487,CRI,,Акрополис
RU,34794,BA,452832,Аксаитово
RU,1228,VGG,404311,Аксай
RU,42845,DA,368031,Аксай
RU,1070,ROS,"346720,346721,346723,346724,346739",Аксай
RU,34680,BA,,Аксаково
RU,31377,MOS,,Аксаково
RU,43792,ORE,461605,Аксаково
RU,2416,BA,452020,Аксаково село
RU,14936,AST,416154,Аксарайский
RU,16061,CU,429567,Аксарино
RU,1741,YAN,629620,Аксарка
RU,13739,ME,425212,Аксарка
RU,15094,MOS,144030,Аксено-Бутырское
RU,42930,MO,431041,Аксеновка
RU,2417,BA,452130,Аксеново
RU,13528,MOS,,Аксеново
RU,34887,TOM,,Аксеново
RU,40044,PSK,182853,Аксеново
RU,44106,VLA,601571,Аксеново
RU,24250,MOS,140163,Аксеново
RU,33438,OMS,,Аксеново
RU,14994,MOS,141147,Аксеново
RU,46264,MO,431514,Аксеново
RU,24380,ZAB,673497,Аксеново-Зиловское
RU,15809,MOS,143031,Аксиньино
RU,17174,MOS,142854,Аксиньино
RU,14995,MOS,,Аксиньино
RU,17175,MOS,,Аксинькино
RU,46937,TA,422415,Аксу
RU,1499,TA,"423060,423089",Аксубаево
RU,33160,KGN,641682,Актабан
RU,1500,TA,"423740,423769",Актаныш
RU,90,BA,453676,Актау
RU,15403,AL,649743,Акташ
RU,45417,KIR,613564,Актыгашево
RU,14637,TA,423304,Актюбинский
RU,29689,BEL,309355,Акулиновка
RU,44843,KLU,"249213,249216",Акулово
RU,1660,MOS,141612,Акулово
RU,44506,KOS,,Акулово
RU,13607,MOS,,Акулово
RU,42728,MOW,,Акулово
RU,42659,MOW,108833,Акулово
RU,36282,TVE,,Акулово
RU,16099,MOS,,Акулово д
RU,33757,ALT,659564,Акутиха
RU,31000,DA,368280,Акуша
RU,45978,MO,431374,Акчеево
RU,37398,CU,429049,Акчикасы
RU,15421,ZAB,674230,Акша
RU,36372,CU,429560,Акшики
RU,37034,ULY,433741,Акшуат
RU,651,BA,453800,Акъяр
RU,16089,MOS,,Алабино
RU,44994,OMS,646788,Алабота
RU,33357,OMS,,Алабота
RU,35989,TA,,Алабуга
RU,37467,CHE,456686,Алабуга
RU,15365,MOS,,Алабушево
RU,2010,SE,"363240,363241,363242,363243,363245,363246",Алагир
RU,17176,MOS,,Аладино
RU,17268,MOS,,Аладьино
RU,34366,DA,368974,Алак
RU,43692,SAM,446404,Алакаевка
RU,15193,MUR,184060,Алакуртти
RU,47062,ALT,659155,Аламбай
RU,35558,TA,422085,Алан
RU,1337,SVE,"624600,624601,624602,624603,624604,624605,624606,624607,624612,624615,624619",Алапаевск
RU,47077,IRK,669472,Аларь
RU,36092,KR,186806,Алатту
RU,3159,CU,"429820,429822,429824,429826,429827,429828,429859",Алатырь
RU,43228,AMU,676065,Албазино
RU,16834,AST,,Алгаза
RU,37172,TAM,393940,Алгасово
RU,30998,IRK,665229,Алгатуй
RU,37521,ROS,,Алдабульский
RU,502,SA,"678900,678901,678902,678906,678909",Алдан
RU,39058,CU,429293,Алдиарово
RU,31173,BA,452558,Алегазово
RU,17177,MOS,,Алеево
RU,42238,RYA,391412,Алеево
RU,17178,MOS,,Алеево-2
RU,29690,BEL,309812,Алейниково
RU,795,ALT,"658130,658131,658133,658135,658136,658137,658138,658149",Алейск
RU,32252,RYA,,Алеканово
RU,42541,KLU,249111,Алекино
RU,13141,KGD,,Александра Космодемьянского пос.
RU,43052,STA,356411,Александрия
RU,42459,STA,356410,Александрия
RU,1961,NVS,632700,Александро-Невский
RU,2943,RYA,391240,Александро-Невский
RU,1196,VLA,"601650,601651,601652,601653,601654,601655,601657,601659,601670",Александров
RU,35357,ROS,347233,Александров
RU,32226,SAR,"413370,413371,413372",Александров-Гай
RU,46973,AMU,676201,Александровка
RU,24345,KYA,"353677,663834",Александровка
RU,36600,MO,431518,Александровка
RU,31900,TA,423926,Александровка
RU,42419,ULY,433547,Александровка
RU,37997,CU,429152,Александровка
RU,33317,OMS,646891,Александровка
RU,45973,ROS,346765,Александровка
RU,13050,ORE,461830,Александровка
RU,38115,TA,423352,Александровка
RU,39281,CRI,,Александровка
RU,44606,SAM,446194,Александровка
RU,36392,CHE,,Александровка
RU,29691,BEL,309668,Александровка
RU,32025,VLA,602220,Александровка
RU,47083,MOS,,Александровка
RU,31803,TUL,301383,Александровка
RU,46997,CHE,456571,Александровка
RU,46789,TUL,301015,Александровка
RU,44865,VGG,403075,Александровка
RU,45494,KYA,663661,Александровка
RU,45163,VGG,403236,Александровка
RU,29692,BEL,309222,Александровка
RU,38079,CRI,297007,Александровка
RU,46732,OMS,646850,Александровка
RU,36090,PNZ,,Александровка
RU,29693,BEL,,Александровка
RU,36397,ORE,462122,Александровка
RU,43941,SAR,410519,Александровка
RU,36042,CRI,297548,Александровка
RU,36089,SMO,214501,Александровка
RU,42305,TYU,627511,Александровка
RU,36174,SAM,445161,Александровка
RU,32702,VOR,397467,Александровка
RU,33075,KLU,,Александровка
RU,29694,BEL,309587,Александровка
RU,29695,BEL,309283,Александровка
RU,35155,SAR,412464,Александровка 3-я
RU,14765,LEN,,Александровка д.
RU,14454,ROS,346712,Александровка Хутор
RU,22863,VOR,,Александровка-Донская
RU,42345,PNZ,143251,Александрово
RU,36775,UD,427562,Александрово
RU,16289,MOS,143251,Александрово
RU,44992,RYA,390512,Александрово
RU,589,PER,"618320,618323,618335,618345,618346",Александровск
RU,14668,SAK,"694420,694424",Александровск-Сахалинский
RU,36788,KB,361104,Александровская
RU,14786,SPE,196631,Александровская
RU,34841,KDA,,Александровский
RU,36324,KDA,352316,Александровский
RU,43703,ZAB,674640,Александровский Завод
RU,1468,STA,"356300,356302,356303,356304",Александровское
RU,3055,TOM,"636760,636761",Александровское
RU,37907,SVE,623316,Александровское
RU,33409,OMS,,Александровское
RU,13136,BA,"450531,452057",Алексеевка
RU,23673,LEN,188457,Алексеевка
RU,37240,ROS,346475,Алексеевка
RU,16987,BEL,"309850,309853,309857",Алексеевка
RU,1501,TA,423938,Алексеевка
RU,45634,SAR,412606,Алексеевка
RU,39282,CRI,,Алексеевка
RU,38033,AL,658653,Алексеевка
RU,43257,AMU,676712,Алексеевка
RU,37580,CHE,457217,Алексеевка
RU,46410,MOS,143523,Алексеевка
RU,45116,TAM,393685,Алексеевка
RU,33433,OMS,,Алексеевка
RU,33392,OMS,646150,Алексеевка
RU,42913,TAM,393904,Алексеевка
RU,33386,OMS,646086,Алексеевка
RU,15095,MOS,,Алексеевка
RU,38212,CRI,296330,Алексеевка
RU,33761,ALT,659666,Алексеевка
RU,31579,CHE,456924,Алексеевка
RU,42892,ORE,461178,Алексеевка
RU,39042,SAR,412761,Алексеевка
RU,45358,MO,431709,Алексеевка
RU,23993,MOS,,Алексеевка
RU,37656,BEL,309074,Алексеевка
RU,1049,SAM,446401,Алексеевка пос.
RU,2955,SAM,446640,Алексеевка с.
RU,39667,ROS,346010,Алексеево-Лозовское
RU,38278,ROS,346596,Алексеево-Тузловка
RU,23935,IRK,666712,Алексеевск
RU,31517,VGG,403241,Алексеевская
RU,35127,KDA,352105,Алексеевская
RU,33419,OMS,,Алексеевский
RU,36524,ROS,347153,Алексеевский
RU,3038,TA,"422900,422901,422939",Алексеевское
RU,46398,TVE,171945,Алексеевское
RU,39132,STA,356414,Алексеевское
RU,29698,BEL,309811,Алексеенково
RU,43094,VGG,403915,Алексиковский
RU,2090,TUL,"301352,301360,301361,301362,301363,301364,301365,301367,301368,301369,301370,301371,301379",Алексин
RU,42211,SMO,215741,Алексино
RU,24023,MOS,,Алексино
RU,15296,MOS,,Алесейково
RU,36476,ZAB,673482,Алеур
RU,13831,IRK,665430,Алехино
RU,35998,MOS,143513,Алехново
RU,45683,BRY,242246,Алешенка
RU,42213,BRY,242138,Алешинка
RU,39678,RYA,391466,Алешино
RU,24524,VGG,404478,Алешкин Хутор
RU,37104,TA,422478,Алешкин-Саплык
RU,24198,NIZ,607616,Алешково
RU,36557,TUL,301126,Алешня
RU,14574,IRK,"665160,665161",Алзамай
RU,35503,KC,369425,Али-Бердуковский
RU,41030,IN,386125,Али-Юрт
RU,3189,CU,429250,Аликово
RU,29699,BEL,309116,Алисовка
RU,47015,DA,368772,Алкадар
RU,33873,BA,452155,Алкино-2
RU,34956,TAM,393930,Алкужи
RU,15383,ULY,433542,Аллагулово
RU,33679,ALT,658719,Аллак
RU,37196,CE,366317,Аллерой
RU,43511,ROS,346735,Алмаз
RU,16078,SA,678181,Алмазный
RU,3097,UD,427880,Алнаши
RU,33870,MO,431823,Алово
RU,45180,KHA,682051,Алонка
RU,40876,CE,"366112,366130",Алпатово
RU,36478,MOS,140550,Алпатьево
RU,29700,BEL,,Алпеевка
RU,33222,KHM,628218,Алтай
RU,6,ALT,"659650,659651,659652,659653",Алтайское
RU,43985,ALT,658851,Алтайское
RU,44202,IRK,669409,Алтарик
RU,14352,KB,361026,Алтуд
RU,22965,STA,356412,Алтухов Хутор
RU,32863,BRY,242150,Алтухово
RU,35527,SAM,446333,Алтухово
RU,43832,SVE,,Алтынай
RU,42776,CU,"429850,429851",Алтышево
RU,36373,CU,429841,Алтышево-Люльский
RU,15501,CRI,"298676,298677",Алупка
RU,15502,CRI,"298500,298501,298502,298503,298504,298505,298506,298507,298508,298509,298510,298511,298512,298513,298514,298515,298516,298517,298518,298519",Алушта
RU,35493,VOR,397415,Алферовка
RU,37503,ARK,164273,Алферово
RU,35688,ARK,165221,Алферовская
RU,37502,VLG,161571,Алферовская
RU,44777,PNZ,"440502",Алферьевка
RU,16781,MOS,141355,Алферьево
RU,17179,MOS,,Алфимово
RU,35239,DA,368555,Алхаджикент
RU,35507,CE,366505,Алхазурово
RU,15070,CE,"366005,366006,366501",Алхан-Кала
RU,24381,ZAB,687211,Алханай
RU,24469,IN,386241,Алхасты
RU,42703,MOS,,Алхимово
RU,39816,KEM,652276,Алчедат
RU,45976,IRK,665150,Алыгджер
RU,1120,KYA,,Алыкель
RU,36597,TYU,626192,Алымка
RU,16273,MOW,,Алымовка
RU,42257,TA,422711,Альдермыш
RU,1533,TA,423309,Алькеево
RU,42769,SAM,446498,Алькино
RU,2663,KGN,641130,Альменево
RU,1054,TA,"423400,423403,423408,423440,423450,423451,423452,423453,423454,423455,423457,423458,423460,423461,423462,423464,423465,423469",Альметьевск
RU,45988,KDA,,Альтмец
RU,36082,SAR,412141,Альшанка
RU,24230,TVE,100000,Алябьевский
RU,22970,KHM,628248,Алябьевский
RU,36124,ZAB,673775,Амазар
RU,42243,AMU,676625,Амаранка
RU,43421,KR,186675,Амбарный
RU,1420,SA,678600,Амга
RU,36577,PRI,692162,Амгу
RU,42407,KHA,682729,Амгунь
RU,33808,NEN,166744,Амдерма
RU,45758,BA,,Амзя
RU,13616,BA,452695,Амзя
RU,24226,CHE,456481,Аминево
RU,36413,PER,617811,Аминькай
RU,23919,YEV,679230,Амурзет
RU,900,KHA,"682640,682641,682643,682644,682645,682647",Амурск
RU,35309,CHE,457335,Амурский
RU,43248,AMU,676815,Амурское
RU,44738,CRI,,Амурское
RU,39488,CRI,,Ана-Юрт
RU,45147,KAM,684355,Анавгай
RU,2381,CHU,689000,Анадырь
RU,35797,KDA,,Ананьевский
RU,15082,VLG,,Ананьино
RU,17180,MOS,,Ананьино
RU,38333,YAR,150526,Ананьино
RU,959,KDA,"353410,353440,353441,353444,353445,353447,353450,353451,353454,353459",Анапа
RU,2627,KDA,"353430,353431",Анапская
RU,35798,KDA,,Анапский
RU,36074,ROS,346964,Анастасиевка
RU,31424,KDA,"353590,353591",Анастасиевская
RU,37089,CU,429026,Анастасово
RU,45928,KHA,680524,Анастасьевка
RU,46215,TA,422643,Анатыш
RU,31096,KRS,,Анахина
RU,37064,KYA,662433,Анаш
RU,44833,ARK,164553,Анашкино
RU,43633,IRK,666222,Анга
RU,280,IRK,"665800,665801,665804,665805,665806,665808,665809,665811,665813,665814,665816,665819,665821,665824,665825,665826,665827,665828,665829,665830,665831,665832,665833,665834,665835,665836,665838,665841,665852",Ангарск
RU,24351,KYA,663440,Ангарский
RU,31469,IRK,665917,Ангасолка
RU,34723,BA,452303,Ангасяк
RU,1125,MOS,,Ангелово
RU,32822,BU,671721,Ангоя
RU,34947,NEN,166713,Андег
RU,3008,STA,357217,Анджиевский
RU,45114,DA,368983,Анди
RU,44162,VLG,162920,Андомский Погост
RU,16980,KHM,628125,Андра
RU,1443,TVE,"172800,172801",Андреаполь
RU,36016,KEM,650521,Андреевка
RU,1096,MOS,141551,Андреевка
RU,22988,OMS,644526,Андреевка
RU,44254,SAR,413805,Андреевка
RU,35463,SAM,446632,Андреевка
RU,37693,CU,429715,Андреевка
RU,34748,BA,,Андреевка
RU,45680,PNZ,442215,Андреевка
RU,35687,BA,453322,Андреевка
RU,36115,PER,,Андреевка
RU,42893,ORE,462136,Андреевка
RU,16524,CRI,299813,Андреевка
RU,14396,MOS,,Андреевка
RU,45476,MO,431237,Андреевка
RU,46914,ULY,433426,Андреевка
RU,29702,BEL,309588,Андреевка
RU,29701,BEL,309004,Андреевка (Прелестненское с/п)
RU,45606,VLA,601370,Андреево
RU,15675,NIZ,,Андреево
RU,45206,ROS,346841,Андреево-Мелентьево
RU,45346,KDA,353794,Андреевская
RU,36945,KIR,613561,Андреевский
RU,35475,TYU,625516,Андреевский
RU,13921,CHE,457342,Андреевский
RU,17269,MOW,,Андреевское
RU,46475,VLA,601612,Андреевское
RU,42704,MOW,108824,Андреевское
RU,36270,YAR,152853,Андреевское
RU,45004,KOS,157094,Андреевское
RU,33655,KDA,352417,Андреедмитриевский
RU,31772,TVE,170540,Андрейково
RU,37925,SVE,623363,Андрейково
RU,34130,SMO,215158,Андрейково
RU,22925,SVE,,Андриановичи
RU,31468,IRK,,Андриановская
RU,36098,PSK,181014,Андромер
RU,33979,KYA,662240,Андроново
RU,45762,SVE,,Андроново
RU,45511,ROS,"346282",Андроповский
RU,23741,PSK,182313,Андрохново
RU,39489,CRI,,Андрусово
RU,36556,KDA,352567,Андрюки
RU,36932,SVE,624913,Андрюшино
RU,42755,TYU,626026,Андрюшино
RU,767,KEM,"652470,652471,652473,652474,652475,652476,652477,652479,652480,652484,652486,652488,652499",Анжеро-Судженск
RU,2515,KB,361350,Анзорей
RU,14552,SAK,694030,Анива
RU,37507,MOS,143271,Аниканово
RU,42656,MOS,,Анино
RU,38386,PRI,692847,Анисимовка
RU,35062,LEN,,Анисимово
RU,35590,VLG,162413,Анисимово
RU,14996,MOS,,Анискино
RU,13609,SAR,413159,Анисовский
RU,16195,MOS,144060,Аничково
RU,36114,KO,168145,Анкерская
RU,16198,MOW,,Анкудиново
RU,1353,VOR,"396250,396251,396252,396253,396254,396259",Анна
RU,13157,KLU,249122,Анненки
RU,44139,MO,431616,Анненково
RU,34035,PNZ,442515,Анненково
RU,35579,NIZ,606396,Анненковский Карьер
RU,45001,KHA,,Анненские Минеральные Воды
RU,39172,VLG,162952,Анненский Мост
RU,24407,CHE,457375,Анненское
RU,2676,LEN,,Аннино
RU,39283,CRI,,Анновка
RU,29703,BEL,309233,Анновка
RU,35772,VLA,601530,Анопино
RU,15806,MOS,,Аносино
RU,46964,AMU,676257,Аносовский
RU,45763,SVE,,Анохинское
RU,43283,SMO,,Анохово
RU,41567,BEL,,Анпиловка
RU,35012,DA,368981,Ансалта
RU,32254,YAN,629371,Антипаюта
RU,17181,MOS,,Антипино
RU,36592,PER,619194,Антипино
RU,36126,UD,427981,Антипино
RU,3088,TYU,626049,Антипино
RU,44552,KOS,,Антипино
RU,33308,ALT,659458,Антипино
RU,3087,TYU,625047,Антипино
RU,22901,SVE,,Антипинский
RU,45042,ZAB,672015,Антипиха
RU,32747,VGG,403856,Антиповка
RU,37590,VGG,404330,Антонов
RU,35137,ROS,347328,Антонов
RU,13962,SA,678472,Антоновка
RU,43235,AMU,676758,Антоновка
RU,45764,SVE,,Антоновка
RU,29704,BEL,,Антоновка
RU,46877,SAM,446554,Антоновка
RU,24251,MOS,,Антоново
RU,36436,ALT,658430,Антошиха
RU,29705,BEL,309901,Антошкин
RU,16043,KOS,157260,Антропово
RU,35905,KOS,,Антушево
RU,40032,AL,659611,Ануйское
RU,14565,PRI,692300,Анучино
RU,35279,PNZ,442221,Анучино
RU,36840,KYA,663634,Анцирь
RU,43908,NGR,174574,Анциферово
RU,45904,ARK,164867,Анциферовский Бор
RU,1238,IVA,155070,Аньково
RU,1771,TVE,171898,Аньково
RU,37512,STA,357248,Апанасенко
RU,39711,STA,356711,Апанасенковское
RU,13302,MOS,,Апаринки
RU,36696,ROS,346553,Апаринский
RU,24252,MOS,,Апариха
RU,1503,TA,"422350,422369",Апастово
RU,989,MUR,"184029,184200,184204,184205,184207,184209,184210,184211,184216,184219",Апатиты
RU,32134,KAM,684104,Апача
RU,36368,CU,429207,Апнерка
RU,37487,OMS,646009,Апполоновка
RU,15898,KOS,156510,Апраксино
RU,483,MOS,"143360,143361,143362,143363,143369",Апрелевка
RU,43483,BA,453873,Аптраково
RU,35122,KAM,688816,Апука
RU,29706,BEL,,Апухтин
RU,1386,KDA,"352690,352691,352692,352693,352695,352696",Апшеронск
RU,37188,DA,368613,Араблинское
RU,44928,KYA,662841,Арадан
RU,35426,ROS,347065,Араканцев
RU,13190,TA,,Аракчино Новое
RU,13186,TA,420031,Аракчино Старое
RU,15959,SVE,,Арамашево
RU,602,SVE,"624000,624002,624003",Арамиль
RU,42148,DA,368273,Арани
RU,45883,CHE,456981,Арасланово
RU,24134,KIR,612180,Арбаж
RU,36861,KK,655745,Арбаты
RU,31104,TA,422245,Арбор
RU,35717,ALT,659006,Арбузовка
RU,43770,ORL,303213,Арбузово
RU,38335,CRI,296310,Арбузово
RU,45946,AMU,676365,Арга
RU,39028,RYA,391066,Аргамаково
RU,32866,LIP,399758,Аргамач-Пальна
RU,1344,CHE,"456880,456881,456883,456888",Аргаяш
RU,43386,DA,368921,Аргвани
RU,35731,SAK,694417,Арги-Паги
RU,14351,KB,"361311,361360",Аргудан
RU,3143,CE,"366281,366282,366283,366284,366285,366286,366287,366310",Аргун
RU,44059,ARK,165111,Аргуновский
RU,35907,BA,452317,Аргыш
RU,43537,RYA,391356,Ардабьево
RU,2764,MO,"431850,431860,431861,431874,431899",Ардатов
RU,1883,NIZ,607130,Ардатов
RU,2011,SE,"363330,363331,363332,363333,363334",Ардон
RU,35696,KYA,663035,Арей
RU,31562,KYA,,Арейское
RU,35577,BRY,242223,Арельск
RU,36972,NIZ,606142,Арефино
RU,37525,YAR,152954,Арефино
RU,38136,VGG,403262,Аржановская
RU,1002,NIZ,"607220,607221,607222,607223,607224,607225,607226,607227,607228,607230,607232,607233,607279",Арзамас
RU,14666,STA,"356570,356571",Арзгир
RU,37464,BA,452840,Арибашево
RU,34717,BA,452539,Ариево
RU,43049,KB,361218,Арик
RU,24253,MOS,,Аринино
RU,37557,KEM,652577,Ариничево
RU,29707,BEL,,Аринкин
RU,45697,ULY,,Аристовка
RU,43275,MOS,,Аристово
RU,42949,KLU,249807,Аристово
RU,2956,SAR,"412210,412211",Аркадак
RU,43236,AMU,676761,Аркадьевка
RU,29708,BEL,309982,Аркатово
RU,31840,BA,,Аркаул
RU,34785,BA,452493,Аркаулово
RU,38024,KIR,613445,Аркуль
RU,13499,BA,452865,Арлан
RU,315,KDA,"352462,352900,352901,352902,352903,352904,352905,352906,352909,352910,352912,352913,352915,352916,352918,352919,352922,352923,352924,352925,352926,352930,352931,352932,352941,352947,352949,392923",Армавир
RU,42705,MOS,,Армазово
RU,24406,MAG,685930,Армань
RU,16085,MOW,,Армейский
RU,1751,TYU,627220,Армизонское
RU,15503,CRI,296012,Армянск
RU,35799,KDA,353331,Армянский
RU,29709,BEL,309904,Арнаутово
RU,14725,LEN,,Аро
RU,32975,BA,452161,Арово
RU,39442,CRI,,Аромат
RU,39443,CRI,,Ароматное
RU,38799,CRI,297635,Ароматное
RU,14632,TYU,627350,Аромашево
RU,22940,VLA,601602,Арсаки
RU,40857,BA,453395,Арсеново
RU,2379,PRI,"692330,692331,692335,692337,692338,692342,692343,692344,692345,692346,692347,692348,692679,692688,692813,692814",Арсеньев
RU,2091,TUL,301510,Арсеньево
RU,1504,TA,"422000,422002,422049",Арск
