Country,OblName,City,lang_code,pecom_id
RU,SAK,Александровск-Сахалинский,ru,144669
RU,IRK,Александровское,ru,66337
RU,STA,Александровское,ru,67985
KZ,AKM,Алексеевка,ru,66147
RU,KDA,Алексеевская,ru,66053
RU,STA,Алексеевское,ru,66389
RU,TUL,Алексин,ru,101397
RU,IRK,Алзамай,ru,116937
RU,CU,Аликово,ru,68699
KZ,ALM,Алматы,ru,-112966
RU,UD,Алнаши,ru,66299
RU,ALT,Алтайское,ru,88253
RU,KEM,Алтамаш,ru,67557
RU,CRI,Алушта,ru,~147573
RU,KGN,Альменево,ru,66795
RU,TA,Альметьевск,ru,-124136
RU,BA,Амзя,ru,69041
RU,KHA,Амурск,ru,130962
RU,KDA,Анапа,ru,63259
RU,KDA,Анастасиевская,ru,63669
RU,IRK,Ангарск,ru,63233
RU,MOS,Ангелово,ru,66837
RU,TVE,Андреаполь,ru,111392
KZ,ALM,Андреевка,ru,65417
RU,NIZ,Андреево,ru,117666
RU,KEM,Анжеро-Судженск,ru,66515
RU,KB,Анзорей,ru,112396
RU,SAR,Анисовка,ru,64073
RU,VOR,Анна,ru,66149
RU,LEN,Аннино,ru,116915
KZ,SEV,Антоновка,ru,64075
RU,KOS,Антропово,ru,89612
RU,PNZ,Анучино,ru,111710
RU,KRS,Апанасовка,ru,63879
RU,MOS,Апаринки,ru,66841
RU,TA,Апастово,ru,66391
RU,MUR,Апатиты,ru,67289
RU,MOS,Апрелевка,ru,66843
RU,KDA,Апшеронск,ru,66635
RU,SVE,Арамиль,ru,66219
RU,KIR,Арбаж,ru,66565
RU,CHE,Аргаяш,ru,64079
RU,NIZ,Ардатов,ru,67809
RU,KIR,Ардаши,ru,63815
RU,SE,Ардон,ru,64237
RU,NIZ,Арзамас,ru,67473
RU,STA,Арзгир,ru,65945
RU,SAR,Аркадак,ru,68209
RU,KDA,Армавир,ru,-478
RU,TYU,Армизонское,ru,68541
RU,TYU,Аромашево,ru,68543
RU,PRI,Арсеньев,ru,63429
RU,TUL,Арсеньево,ru,117783
RU,TA,Арск,ru,66393
RU,PRI,Артем,ru,-109274
RU,SVE,Артемовский,ru,66221
RU,SVE,Арти,ru,66223
RU,KEM,Артышта,ru,67561
RU,ARK,Архангельск,ru,-485
RU,STA,Архангельское,ru,65747
RU,MOS,Архангельское,ru,66845
RU,TUL,Архангельское,ru,117789
RU,BA,Архангельское,ru,64695
RU,AMU,Архара,ru,112795
RU,KDA,Архипо-Осиповка,ru,67605
RU,STA,Архиповское,ru,65947
RU,KC,Архыз,ru,67417
RU,SVE,Асбест,ru,-139739
RU,ORE,Асекеево,ru,64783
RU,TOM,Асино,ru,68471
RU,BA,Аскарово,ru,64745
RU,BA,Аскино,ru,64723
KZ,AKM,Астана,ru,~101091
RU,AST,Астрахань,ru,-494
RU,ZAB,Атамановка,ru,106975
RU,KYA,Атаманово,ru,66735
RU,KDA,Атаманская,ru,64239
RU,MO,Атемар,ru,67811
RU,MOS,Атепцево,ru,66847
RU,SAR,Аткарск,ru,68211
RU,CU,Атлашево,ru,68701
RU,TA,Атня,ru,66395
KZ,ATY,Атырау,ru,~95445
RU,MO,Атюрьево,ru,122983
RU,MO,Атяшево,ru,67813
RU,MOS,Афанасьево,ru,66567
RU,KDA,Афипский,ru,66637
RU,KDA,Ахтанизовская станица,ru,114488
RU,AST,Ахтубинск,ru,66055
RU,KDA,Ахтырский,ru,66639
RU,KYA,Ачинск,ru,66737
RU,SVE,Ачит,ru,66227
RU,CHE,Аша,ru,68655
RU,KDA,Аше,ru,68285
RU,MOS,Ашукино,ru,65407
RU,MOS,Ащерино,ru,66849
RU,TA,Аэропорт Казань,ru,63857
RU,CHE,Аэропорт Магнитогорск,ru,94958
RU,KEM,Аэропорт Новокузнецк,ru,172119
RU,TYU,Аэропорт Рощино,ru,69033
RU,NVS,Аэропорт Толмачево,ru,69031
RU,BA,Аэропорт Уфа,ru,68971
RU,ALT,Ая,ru,64241
RU,KOS,Бабаево,ru,68813
RU,KEM,Бабанаково,ru,64259
RU,BU,Бабушкин,ru,64261
RU,KLU,Бабынино,ru,112362
RU,VOR,Бабяково,ru,64393
RU,TA,Бавлы,ru,67389
RU,ROS,Багаевская,ru,65237
RU,KGD,Багратионовск,ru,66453
RU,ALT,Баево,ru,65859
RU,TA,Базарные Матаки,ru,66397
RU,SAR,Базарный Карабулак,ru,68213
RU,ULY,Базарный Сызган,ru,68609
RU,TYU,Байкалово,ru,66229
RU,IRK,Байкальск,ru,66339
RU,BA,Баймак,ru,64265
KZ,ALM,Байсерке,ru,134104
RU,CHE,Бакал,ru,68749
RU,BA,Бакалы,ru,64711
RU,IRK,Баклаши,ru,66341
RU,MOS,Баковка,ru,63833
RU,KB,Баксан,ru,67987
RU,TOM,Бакчар,ru,68473
RU,KLU,Балабаново,ru,63111
RU,IRK,Балаганск,ru,64431
RU,PSK,Балакирево,ru,117646
RU,SAR,Балаково,ru,-117363
RU,KYA,Балахта,ru,66739
RU,SAM,Балашейка,ru,68425
RU,MOS,Балашиха,ru,66851
RU,SAR,Балашов,ru,68217
RU,UD,Балезино,ru,66301
RU,ZAB,Балей,ru,173893
RU,SAR,Балтай,ru,68219
RU,TA,Балтаси,ru,66399
RU,KGD,Балтийск,ru,66455
RU,NVS,Барабинск,ru,67635
RU,SVE,Баранчинский,ru,67515
RU,MOS,Барвиха,ru,64905
RU,PER,Барда,ru,67895
RU,ALT,Барнаул,ru,-501
RU,VLG,Барское,ru,66093
RU,KHM,Барсово,ru,69055
RU,PSK,Барсуки,ru,146310
RU,MOS,Барыбино,ru,63605
RU,ULY,Барыш,ru,68611
RU,KLU,Барятино,ru,117805
RU,AST,Басы,ru,65789
RU,ROS,Батайск,ru,63319
RU,IRK,Батарейная,ru,66343
RU,NGR,Батецкий,ru,65993
RU,TOM,Батурино,ru,68475
RU,CU,Батырево,ru,68703
RU,KIR,Бахта,ru,63547
RU,CRI,Бахчисарай,ru,~147575
RU,KEM,Бачатский,ru,67563
RU,UD,Башмаково,ru,64267
RU,IRK,Баяндай,ru,66345
RU,TA,Бегишево,ru,64307
RU,LEN,Бегуницы,ru,64181
RU,PSK,Бежаницы,ru,64269
RU,TVE,Бежецк,ru,109862
RU,SAM,Безенчук,ru,68083
RU,STA,Безопасное,ru,63779
RU,MOS,Бекасово,ru,66853
RU,PNZ,Беково,ru,67815
RU,MOS,Белая,ru,63713
RU,BRY,Белая Березка,ru,101399
RU,KDA,Белая Глина,ru,68037
RU,ROS,Белая Калитва,ru,68039
RU,KIR,Белая Холуница,ru,66569
RU,BEL,Белгород,ru,-458
RU,BA,Белебей,ru,68657
RU,TUL,Белев,ru,69133
RU,PNZ,Белинский,ru,67817
RU,TA,Бело-Безводное,ru,65725
RU,CHE,Белово,ru,66517
RU,KEM,Белогорск,ru,112778
RU,KDA,Белозерный,ru,66641
RU,VLG,Белозерск,ru,68815
RU,KGN,Белозерское,ru,66797
KZ,VOS,Белокаменка,ru,67291
RU,ALT,Белокуриха,ru,65861
RU,KR,Беломорск,ru,67939
RU,ARK,Беломорье,ru,65771
RU,MOS,Белоозерский,ru,64029
RU,MOS,Белоомут,ru,119872
RU,SPE,Белоостров,ru,64131
RU,BA,Белорецк,ru,68659
RU,KDA,Белореченск,ru,63321
RU,CHE,Белоусово,ru,117296
KZ,SEV,Белоярка,ru,64271
RU,KHM,Белоярский,ru,-139741
RU,BRY,Белые Берега,ru,63371
RU,MOS,Белые Столбы,ru,66855
RU,KDA,Белый,ru,114861
RU,MOS,Белый Раст,ru,121256
RU,SVE,Белый Яр,ru,69017
RU,PER,Беляевка,ru,67741
RU,MOS,Беляниново,ru,105249
RU,NVS,Бердск,ru,67637
RU,TYU,Бердюжье,ru,68545
RU,CHE,Бердяуш,ru,64641
RU,CHE,Береговой,ru,65617
RU,OMS,Береговой,ru,69071
RU,TVE,Бережки,ru,145137
RU,VLG,Бережное,ru,66095
RU,SAM,Береза,ru,64225
RU,TOM,Березкина,ru,68477
RU,BEL,Березник,ru,63199
RU,VLA,Березники,ru,-116162
RU,KYA,Березовка,ru,64287
RU,PER,Березовка,ru,64805
RU,SVE,Березовский,ru,66233
RU,KEM,Березовский,ru,66519
RU,SA,Беркакит,ru,111164
RU,MO,Берсеневка,ru,68993
RU,MOS,Беседы,ru,66857
RU,SE,Беслан,ru,67989
RU,KR,Бесовец,ru,63859
RU,KDA,Бесскорбная,ru,114245
RU,BEL,Бессоновка,ru,67819
RU,SAM,Бестужевка,ru,68085
RU,KLU,Бетлица,ru,117811
RU,KDA,Бетта,ru,64289
RU,TA,Бетьки,ru,63481
RU,AD,Бжедугхабль,ru,64291
RU,KDA,Бжид,ru,67607
RU,BA,Бижбуляк,ru,64727
RU,ALT,Бийск,ru,-107927
RU,TA,Бикасаз,ru,64293
RU,IRK,Бикей,ru,127732
RU,KHA,Бикин,ru,69087
RU,SVE,Билимбай,ru,66235
RU,MOS,Биокомбинат,ru,117791
RU,KHA,Бира,ru,111694
RU,YEV,Биробиджан,ru,69079
RU,BA,Бирск,ru,68661
RU,TA,Бирюли,ru,66401
RU,BEL,Бирюч,ru,63339
RU,SVE,Бисерть,ru,64661
RU,BU,Бичура,ru,63937
RU,TA,Бишмунча,ru,64295
RU,BA,Благовещенск,ru,-112568
RU,KDA,Благовещенская,ru,64297
RU,STA,Благодарный,ru,65949
RU,VOR,Бобров,ru,66151
KZ,VOS,Бобровка,ru,64299
RU,BEL,Боброво,ru,63639
RU,KHM,Бобровский,ru,66237
RU,TYU,Богандинский,ru,68547
RU,BEL,Богатое,ru,68087
RU,TA,Богатые Сабы,ru,66403
RU,CRI,Богатырь,ru,68427
RU,TOM,Богашево,ru,64301
RU,SVE,Богданович,ru,-139743
KZ,SEV,Боголюбово,ru,117668
RU,TUL,Богородицк,ru,106604
RU,NIZ,Богородск,ru,67477
RU,KIR,Богородское,ru,66571
RU,MOS,Богородское,ru,119900
RU,TAM,Богословка,ru,65427
RU,KYA,Боготол,ru,66743
RU,VOR,Богучар,ru,66153
RU,NGR,Божонка,ru,68879
RU,ROS,Боковская,ru,65279
RU,LEN,Бокситогорск,ru,64317
RU,TA,Болгар,ru,64305
RU,TVE,Бологое,ru,65995
RU,NVS,Болотное,ru,67639
RU,TUL,Болохово,ru,111669
RU,ORL,Болхов,ru,63727
RU,SMO,Болшево,ru,64013
RU,BA,Большая Амзя,ru,67449
RU,TA,Большая Атня,ru,66405
RU,SAM,Большая Глушица,ru,68089
RU,MO,Большая Елховка,ru,122991
RU,LEN,Большая Ижора,ru,65623
RU,KYA,Большая Мурта,ru,66745
RU,ROS,Большая Неклиновка,ru,90220
RU,ROS,Большая Орловка,ru,65613
RU,PER,Большая Соснова,ru,67897
RU,KEM,Большая Талда,ru,112225
RU,ZAB,Большая Тура,ru,173879
RU,SAM,Большая Черниговка,ru,64303
RU,MOS,Большевик,ru,121260
RU,OMS,Большеречье,ru,67669
RU,BA,Большеустьикинское,ru,112422
RU,MO,Большие Березники,ru,64257
RU,MOS,Большие Вяземы,ru,66859
RU,MOS,Большие Дворы,ru,65405
RU,TA,Большие Кайбицы,ru,66407
RU,CU,Большие Карачуры,ru,65477
RU,ARK,Большие Карелы,ru,121246
RU,TA,Большие Кибячи,ru,120723
RU,LEN,Большие Колпаны,ru,116909
RU,OMS,Большие Уки,ru,67671
RU,NIZ,Большое Болдино,ru,64319
RU,MOS,Большое Буньково,ru,64321
RU,MO,Большое Игнатово,ru,122985
RU,ULY,Большое Нагаткино,ru,68613
RU,PER,Большое Савино,ru,65567
RU,SVE,Большое Седельниково,ru,63491
RU,YAR,Большое Село,ru,68825
RU,KRS,Большое Солдатское,ru,63681
RU,MOS,Большое Толбино,ru,63615
RU,SVE,Большой Исток,ru,64325
RU,CHE,Большой Куяш,ru,64327
RU,ROS,Большой Лог,ru,64329
RU,IRK,Большой Луг,ru,64445
RU,KYA,Большой Улуй,ru,66747
RU,KL,Большой Царын,ru,65685
RU,TAM,Бондари,ru,63449
RU,PSK,Бор-Лазава,ru,136227
RU,ZAB,Борзя,ru,114923
RU,LIP,Боринское,ru,122854
RU,BEL,Борисов,ru,~102142
RU,MOS,Борисовка,ru,63753
RU,KDA,Борисовка,ru,64835
RU,IRK,Борисово,ru,66521
RU,VOR,Борисоглебск,ru,-123248
RU,YAR,Борисоглебский,ru,64333
RU,NGR,Боровенка,ru,68881
RU,NGR,Боровичи,ru,65997
RU,TA,Боровое Матюшино,ru,66409
RU,KLU,Боровск,ru,63113
RU,TYU,Боровский,ru,68549
RU,MOS,Бороденки,ru,63495
RU,KYA,Бородино,ru,64495
RU,MOS,Бородино,ru,64493
RU,TUL,Бородинский,ru,117801
RU,YAR,Борок,ru,68989
RU,SAM,Борское,ru,64335
RU,MOW,Ботаково,ru,63819
RU,KDA,Ботаника,ru,66643
RU,VLG,Ботово,ru,65655
RU,IRK,Бохан,ru,66347
RU,MOS,Братовщина,ru,63821
RU,IRK,Братск,ru,-102895
RU,CHE,Бреды,ru,67777
RU,YAR,Брейтово,ru,68827
RU,MOS,Брехово,ru,66861
RU,ARK,Брин-Наволок,ru,63195
RU,NGR,Бронница,ru,68877
RU,MOS,Бронницы,ru,66863
RU,KDA,Брюховецкая,ru,66645
RU,BRY,Брянск,ru,-95516
RU,LEN,Бугры,ru,64107
RU,TA,Бугульма,ru,67391
RU,ORE,Бугуруслан,ru,68091
RU,STA,Буденновск,ru,-511
RU,VOR,Буденного,ru,69101
RU,LEN,Будогощь,ru,116911
RU,MOS,Бужарово,ru,134100
RU,BA,Буздяк,ru,64703
RU,MOS,Бузланово,ru,68975
RU,ORE,Бузулук,ru,68093
RU,TA,Буинск,ru,68615
RU,KOS,Буй,ru,68829
RU,SVE,Буланаш,ru,64339
RU,MOS,Булатниково,ru,116800
RU,SMO,Булгаково,ru,68663
RU,MOS,Бунятино,ru,66865
RU,BA,Бураево,ru,67451
RU,CHE,Буранный,ru,94962
RU,ALT,Бурановка,ru,64341
RU,TA,Бурбаш,ru,120727
RU,ORE,Бурдыгино,ru,63479
RU,BA,Бурибай,ru,67779
RU,STA,Бурлацкое,ru,65951
RU,NVS,Бурмистрово,ru,64343
RU,BEL,Бутово,ru,64045
RU,VOR,Бутурлиновка,ru,66157
RU,NGR,Быково,ru,64347
RU,MOS,Быково,ru,66867
RU,MOW,Былово,ru,69015
RU,SVE,Быньги,ru,64349
RU,ALT,Быстрый Исток,ru,65865
RU,UD,Вавож,ru,66303
RU,TYU,Вагай,ru,68553
RU,SVE,Ваганово,ru,63541
RU,PNZ,Вадинск,ru,64997
RU,ARK,Важский,ru,121250
RU,CU,Важуково,ru,65225
RU,NGR,Валдай,ru,65999
RU,BEL,Валуйки,ru,66159
RU,SAM,Валы,ru,68429
RU,KHA,Ванино,ru,113565
RU,UD,Вараксино,ru,64383
RU,KGN,Варгаши,ru,66799
RU,KDA,Вардане,ru,68287
RU,KDA,Варениковская,ru,64361
RU,CHE,Варламово,ru,68431
RU,CHE,Варна,ru,68751
RU,LEN,Вартемяги,ru,64121
RU,PNZ,Васильевка,ru,64365
RU,SAM,Васильевка,ru,68433
RU,MOS,Васильево,ru,66411
RU,SVE,Васьково,ru,65773
RU,KDA,Васюринская,ru,64367
RU,MOS,Ватутинки,ru,66871
RU,YAR,Вахрушево,ru,64369
RU,KIR,Вахруши,ru,64885
RU,NIZ,Вахтан,ru,122979
RU,TA,Введенская Слобода,ru,65065
RU,BEL,Вейделевка,ru,63337
RU,SMO,Велиж,ru,94964
RU,TYU,Велижаны,ru,68555
RU,PSK,Великие Луки,ru,66001
RU,NGR,Великий Новгород,ru,-470
RU,VLG,Великий Устюг,ru,63229
RU,YAR,Великое,ru,65743
RU,ARK,Вельск,ru,63223
RU,MOS,Вельяминово,ru,64373
RU,NVS,Венгерово,ru,64591
RU,TUL,Венев,ru,106515
RU,MOS,Вербилки,ru,65419
RU,LEN,Верево п. ст.,ru,119761
RU,PER,Верещагино,ru,67899
RU,MOS,Верея,ru,65591
RU,KEM,Верх-Егос,ru,111485
RU,SVE,Верх-Нейвинский,ru,64375
RU,KEM,Верх-Чебула,ru,64377
RU,NVS,Верхне-Тула,ru,64555
RU,KDA,Верхнебаканский,ru,67609
RU,SMO,Верхнеднепровский,ru,94966
RU,SVE,Верхнее Дуброво,ru,65705
RU,SAM,Верхнее Санчелеево,ru,64351
RU,TOM,Верхнее Сеченово,ru,64353
RU,MOS,Верхнее Хорошово,ru,145145
RU,STA,Верхнерусское,ru,68341
RU,ROS,Верхнетемерницкий,ru,63659
RU,MUR,Верхнетуломский,ru,67293
RU,CHE,Верхнеуральск,ru,68753
RU,BA,Верхнеяркеево,ru,64709
RU,BA,Верхние Киги,ru,64737
RU,PNZ,Верхние поляны,ru,63551
RU,SVE,Верхние Серги,ru,64657
RU,BA,Верхние Татышлы,ru,67453
RU,AST,Верхний Баскунчак,ru,66057
RU,IVA,Верхний Ландех,ru,93039
RU,PNZ,Верхний Ломов,ru,67821
RU,VOR,Верхний Мамон,ru,66161
RU,TA,Верхний Симет,ru,120725
RU,SVE,Верхний Тагил,ru,66241
RU,TA,Верхний Услон,ru,66413
RU,CHE,Верхний Уфалей,ru,66243
RU,TA,Верхняя Мактама,ru,64857
RU,SAM,Верхняя Подстепновка,ru,68095
RU,SVE,Верхняя Пышма,ru,66245
RU,SVE,Верхняя Салда,ru,67517
RU,SVE,Верхняя Синячиха,ru,64687
RU,ARK,Верхняя Тойма,ru,65775
RU,SVE,Верхняя Тура,ru,67519
RU,VOR,Верхняя Хава,ru,66163
RU,VLG,Верховажье,ru,66097
RU,KR,Верховье,ru,63729
RU,SVE,Верхотурье,ru,67521
RU,KIR,Верхошижемье,ru,66573
RU,BEL,Веселое,ru,68289
RU,AD,Веселый,ru,65241
RU,TVE,Весьегонск,ru,106357
RU,NIZ,Ветлужский,ru,146072
RU,ROS,Вешенская,ru,101402
RU,TOM,Вешинино,ru,68479
RU,ULY,Вешкайма,ru,68617
RU,MOS,Вешки,ru,64391
RU,SAK,Взморье,ru,66457
RU,KR,Виданы,ru,63405
RU,IRK,Видим,ru,103550
RU,CRI,Видное,ru,66873
RU,MUR,Видяево,ru,67295
RU,KO,Визинга,ru,68375
RU,KEM,Викторьевка,ru,67565
RU,TYU,Викулово,ru,68557
RU,KR,Вилга,ru,63401
RU,KR,Виллагора,ru,63975
RU,LEN,Виллози,ru,64151
RU,NIZ,Виля,ru,122971
RU,TYU,Винзили,ru,68559
RU,MOS,Виноградово,ru,66875
RU,STA,Винсады,ru,67993
RU,SVE,Висим,ru,64675
RU,SVE,Висимо-Уткинск,ru,64677
RU,KDA,Витязево,ru,67611
RU,IRK,Вихоревка,ru,103538
RU,IVA,Вичуга,ru,89620
KZ,AKM,Вишневка,ru,68291
RU,CHE,Вишневогорск,ru,64663
RU,PRI,Владивосток,ru,-465
RU,SE,Владикавказ,ru,63245
RU,VLA,Владимир,ru,-147316
RU,PRI,Владимиро-Александровское,ru,112327
RU,MOS,Власиха,ru,66877
RU,MOS,ВНИИССОК,ru,114859
RU,MOW,Внуково,ru,66879
RU,VGG,Водный,ru,136705
RU,KO,Водный,ru,116100
RU,VLG,Вожега,ru,65353
RU,MOS,Воздвиженское,ru,66881
RU,KO,Войвож,ru,68377
RU,LEN,Войсковицы,ru,64173
RU,AST,Волго-Каспийский,ru,65723
RU,VGG,Волгоград,ru,-496
RU,ROS,Волгодонск,ru,68041
RU,KOS,Волгореченск,ru,101404
RU,ME,Волжск,ru,63235
RU,AST,Волжский,ru,65795
RU,VGG,Волжский,ru,-62409
RU,KDA,Волжский,ru,68097
RU,SAM,Волжский Утес,ru,89641
RU,KDA,Волковка,ru,65755
RU,KDA,Волконка,ru,68293
RU,KDA,Волна,ru,65701
RU,LIP,Волово,ru,63917
RU,TUL,Волово,ru,122562
RU,VLG,Вологда,ru,-507
RU,NIZ,Володарск,ru,65049
RU,AST,Володарский,ru,65797
RU,MOS,Володарского,ru,111455
RU,KOS,Володино,ru,65715
RU,MOS,Волоколамск,ru,66885
RU,BEL,Волоконовка,ru,69063
RU,MOS,Волосово,ru,64479
RU,LEN,Волосово,ru,64193
RU,NGR,Волот,ru,66003
RU,LEN,Волхов,ru,68155
RU,PRI,Волчанец,ru,118355
RU,SVE,Волчанск,ru,64685
RU,ALT,Волчиха,ru,65867
RU,VLA,Вольгинский,ru,117660
RU,PRI,Вольно-Надеждинское,ru,112325
RU,KDA,Вольное,ru,114241
RU,KDA,Вольное с.,ru,134108
RU,SAR,Вольск,ru,68221
RU,VOR,Воля,ru,122588
RU,LIP,Воробьевка,ru,66165
RU,VOR,Воронеж,ru,-466
RU,KDA,Воронежская,ru,65295
RU,MOS,Воронки,ru,68951
RU,BEL,Вороновка,ru,63619
RU,TOM,Вороново,ru,145139
RU,VOR,Воронцовка,ru,122594
RU,ROS,Воронцовка,ru,68043
RU,NIZ,Воротынец,ru,65087
RU,KLU,Воротынск,ru,102628
RU,MOS,Ворсино,ru,139239
RU,NIZ,Ворсма,ru,65153
RU,VLA,Ворша,ru,123749
RU,OMS,Воскресенка,ru,64221
RU,MOS,Воскресенск,ru,117809
RU,ME,Воскресенский,ru,67613
RU,MOS,Воскресенское,ru,63617
RU,SAR,Воскресенское,ru,64497
RU,BA,Воскресенское,ru,63851
RU,KDA,Восточная,ru,64853
RU,KIR,Восточный,ru,64883
RU,MOS,Восточный,ru,64025
RU,MOS,Востряково,ru,132513
RU,KDA,Восход,ru,114235
RU,UD,Воткинск,ru,64385
RU,VLG,Вохтога,ru,66099
RU,PRI,Врангель,ru,112227
RU,LEN,Всеволожск,ru,68157
RU,CU,Вурнары,ru,68705
RU,LEN,Выборг,ru,68159
RU,BRY,Выгоничи,ru,112356
RU,NIZ,Выкса,ru,67483
RU,KO,Выльгорт,ru,63559
RU,LEN,Вырица,ru,64189
RU,MOS,Вырубово,ru,64831
RU,KDA,Выселки,ru,66647
RU,STA,Выселки,ru,64255
RU,TA,Высокая Гора,ru,66415
RU,MUR,Высокий,ru,116041
RU,KHM,Высокий,ru,112027
RU,MOS,Высоково,ru,66889
RU,MOS,Высоковск,ru,64021
RU,LEN,Высоцк,ru,64207
RU,VLG,Вытегра,ru,66101
RU,MUR,Выходной,ru,67297
RU,KDA,Вышестеблиевская ст-ца,ru,65221
RU,TVE,Вышний Волочек,ru,66009
RU,KHA,Вяземский,ru,69085
RU,VLA,Вязники,ru,67485
RU,STA,Вязники,ru,68343
RU,SMO,Вязьма,ru,63121
RU,SMO,Вязьма-Брянская,ru,117025
RU,MOS,Вялки,ru,66891
RU,KR,Вяртсиля,ru,63861
RU,KIR,Вятские Поляны,ru,66417
RU,YAR,Гаврилов-Ям,ru,63579
RU,TAM,Гавриловка 2-я,ru,105214
RU,SMO,Гагарин,ru,63123
RU,NIZ,Гагино,ru,65133
RU,MUR,Гаджиево,ru,67299
RU,ZAB,Газимурский завод,ru,173891
RU,ORE,Гай,ru,67781
RU,KDA,Гайдук,ru,63777
RU,KOS,Галич,ru,89536
RU,PER,Гамово,ru,63561
RU,KIR,Ганино,ru,63775
RU,LEN,Гарболово,ru,116895
RU,LEN,Гатчина,ru,68161
RU,KGD,Гвардейск,ru,66459
RU,PSK,Гдов,ru,65431
RU,KDA,Геленджик,ru,63261
RU,ROS,Генеральское,ru,63505
KZ,VOS,Георгиевка,ru,63531
RU,STA,Георгиевск,ru,63279
RU,MOS,Гжель,ru,66893
RU,AD,Гиагинская,ru,66649
RU,ROS,Гигант,ru,65621
RU,IRK,Гидростроитель,ru,103837
RU,SE,Гизель,ru,145141
RU,KDA,Гизель-Дере,ru,114838
RU,KDA,Гирей,ru,65311
RU,UD,Глазов,ru,63231
RU,ORL,Глазуновка,ru,63731
RU,MOS,Глебовский,ru,118700
RU,LEN,Глебычево,ru,116901
RU,LEN,Глинка,ru,117011
RU,KDA,Глубокий,ru,114229
RU,ROS,Глубокий,ru,64957
RU,MOS,Глухово,ru,63781
RU,KRS,Глушково,ru,63697
RU,KGN,Глядянское,ru,66801
RU,SMO,Гнездово,ru,111380
RU,MOS,Голиково,ru,66895
RU,PNZ,Голицыно,ru,64031
RU,MOS,Головинка,ru,68295
RU,BEL,Головчино,ru,122572
RU,KDA,Голубая Дача,ru,68297
RU,KDA,Голубицкая,ru,65707
RU,SMO,Голынки,ru,117029
RU,TYU,Голышманово,ru,68561
RU,MOS,Гольево,ru,66897
RU,UD,Гольяны,ru,65513
RU,LEN,Горбунки,ru,64135
RU,BRY,Гордеевка,ru,121264
RU,SPE,Горелово,ru,64091
RU,KLU,Горки,ru,66899
RU,MOS,Горки-10,ru,119884
RU,AL,Горно-Алтайск,ru,64529
RU,SAK,Горнозаводск,ru,64807
RU,SVE,Горноуральский,ru,64671
RU,SAR,Горный,ru,68223
RU,NVS,Горный,ru,64567
RU,SVE,Горный Щит,ru,64645
RU,VGG,Городище,ru,66059
RU,PNZ,Городище,ru,67823
RU,VLA,Городищи,ru,117662
RU,KL,Городовиковск,ru,68345
RU,VLA,Гороховец,ru,65057
RU,KDA,Горское,ru,67615
RU,KRS,Горшечное,ru,63715
RU,OMS,Горьковское,ru,67673
RU,OMS,Горячий Ключ,ru,66651
RU,KDA,Гостагаевская,ru,65327
RU,LEN,Гостилицы,ru,116917
RU,STA,Гофицкое,ru,65953
RU,PNZ,Грабово,ru,67825
